"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"237",1,1,6,3,"2016-01-06","DL",19790,1295,"ATL","GA",909,948,39,39,1,2,"0900-0959",7,955,1104,3,1045,1107,22,1,1,"1000-1059",0,"",0,96,79,69,526,3,1,1
"238",1,1,6,3,"2016-01-06","DL",19790,1462,"ATL","GA",1534,1533,-1,0,0,-1,"1500-1559",13,1546,1656,4,1719,1700,0,0,-2,"1700-1759",0,"",0,105,87,70,526,3,0,0
"239",1,1,6,3,"2016-01-06","DL",19790,1677,"ATL","GA",725,720,-5,0,0,-1,"0700-0759",13,733,844,3,904,847,0,0,-2,"0900-0959",0,"",0,99,87,71,526,3,1,1
"240",1,1,6,3,"2016-01-06","DL",19790,2789,"ATL","GA",1209,1208,-1,0,0,-1,"1200-1259",12,1220,1331,4,1350,1335,0,0,-1,"1300-1359",0,"",0,101,87,71,526,3,0,0
"241",1,1,6,3,"2016-01-06","EV",20366,4260,"EWR","NJ",700,704,4,4,0,0,"0700-0759",21,725,821,5,832,826,0,0,-1,"0800-0859",0,"",0,92,82,56,319,2,1,1
"242",1,1,6,3,"2016-01-06","EV",20366,4988,"DTW","MI",759,753,-6,0,0,-1,"0700-0759",35,828,901,6,920,907,0,0,-1,"0900-0959",0,"",0,81,74,33,201,1,1,1
"243",1,1,6,3,"2016-01-06","AA",19805,1252,"DFW","TX",825,820,-5,0,0,-1,"0800-0859",12,832,1145,4,1157,1149,0,0,-1,"1100-1159",0,"",0,152,149,133,1067,5,1,1
"244",1,1,6,3,"2016-01-06","AA",19805,1426,"DFW","TX",1045,1125,40,40,1,2,"1000-1059",11,1136,1448,3,1423,1451,28,1,1,"1400-1459",0,"",0,158,146,132,1067,5,1,0
"245",1,1,6,3,"2016-01-06","AA",19805,1801,"CLT","NC",945,939,-6,0,0,-1,"0900-0959",23,1002,1100,6,1114,1106,0,0,-1,"1100-1159",0,"",0,89,87,58,366,2,1,1
"246",1,1,6,3,"2016-01-06","AA",19805,1815,"CLT","NC",1145,1138,-7,0,0,-1,"1100-1159",18,1156,1254,5,1316,1259,0,0,-2,"1300-1359",0,"",0,91,81,58,366,2,1,0
"247",1,1,6,3,"2016-01-06","AA",19805,1842,"CLT","NC",1319,1316,-3,0,0,-1,"1300-1359",21,1337,1431,4,1446,1435,0,0,-1,"1400-1459",0,"",0,87,79,54,366,2,0,0
"248",1,1,6,3,"2016-01-06","AA",19805,1904,"CLT","NC",759,753,-6,0,0,-1,"0700-0759",15,808,907,5,930,912,0,0,-2,"0900-0959",0,"",0,91,79,59,366,2,1,1
"249",1,1,6,3,"2016-01-06","AA",19805,489,"PHX","AZ",950,952,2,2,0,0,"0900-0959",22,1014,1539,4,1552,1543,0,0,-1,"1500-1559",0,"",0,242,231,205,1814,8,1,0
"250",1,1,6,3,"2016-01-06","AA",19805,1705,"PHL","PA",1615,1606,-9,0,0,-1,"1600-1659",13,1619,1703,4,1732,1707,0,0,-2,"1700-1759",0,"",0,77,61,44,268,2,0,0
"251",1,1,6,3,"2016-01-06","AA",19805,2030,"PHL","PA",1335,1336,1,1,0,0,"1300-1359",14,1350,1434,4,1447,1438,0,0,-1,"1400-1459",0,"",0,72,62,44,268,2,0,0
"252",1,1,6,3,"2016-01-06","B6",20409,1285,"BOS","MA",630,625,-5,0,0,-1,"0600-0659",15,640,802,5,828,807,0,0,-2,"0800-0859",0,"",0,118,102,82,496,2,1,1
"253",1,1,6,3,"2016-01-06","B6",20409,1485,"BOS","MA",829,858,29,29,1,1,"0800-0859",12,910,1034,3,1024,1037,13,0,0,"1000-1059",0,"",0,115,99,84,496,2,1,1
"254",1,1,6,3,"2016-01-06","B6",20409,1585,"BOS","MA",1515,1536,21,21,1,1,"1500-1559",10,1546,1710,4,1706,1714,8,0,0,"1700-1759",0,"",0,111,98,84,496,2,0,0
"255",1,1,6,3,"2016-01-06","UA",19977,648,"DEN","CO",1002,1000,-2,0,0,-1,"1000-1059",15,1015,1444,4,1500,1448,0,0,-1,"1500-1559",0,"",0,178,168,149,1290,6,1,0
"256",1,1,6,3,"2016-01-06","UA",19977,734,"ORD","IL",1403,1422,19,19,1,1,"1400-1459",11,1433,1630,4,1630,1634,4,0,0,"1600-1659",0,"",0,87,72,57,413,2,0,0
"257",1,1,6,3,"2016-01-06","UA",19977,1475,"ORD","IL",702,652,-10,0,0,-1,"0700-0759",23,715,912,5,931,917,0,0,-1,"0900-0959",0,"",0,89,85,57,413,2,1,1
"258",1,1,6,3,"2016-01-06","WN",19393,1452,"MDW","IL",1000,953,-7,0,0,-1,"1000-1059",7,1000,1201,5,1220,1206,0,0,-1,"1200-1259",0,"",0,80,73,61,402,2,1,0
"259",1,1,6,3,"2016-01-06","WN",19393,2622,"MDW","IL",1345,1348,3,3,0,0,"1300-1359",11,1359,1558,3,1605,1601,0,0,-1,"1600-1659",0,"",0,80,73,59,402,2,0,0
"260",1,1,6,3,"2016-01-06","WN",19393,369,"RSW","FL",1135,1129,-6,0,0,-1,"1100-1159",11,1140,1338,6,1405,1344,0,0,-2,"1400-1459",0,"",0,150,135,118,966,4,1,0
"261",1,1,6,3,"2016-01-06","WN",19393,684,"HOU","TX",1050,1047,-3,0,0,-1,"1000-1059",9,1056,1409,6,1430,1415,0,0,-1,"1400-1459",0,"",0,160,148,133,1131,5,1,0
"262",1,1,6,3,"2016-01-06","WN",19393,1928,"LAS","NV",1005,1004,-1,0,0,-1,"1000-1059",18,1022,1701,5,1710,1706,0,0,-1,"1700-1759",0,"",0,245,242,219,1910,8,1,0
"263",1,1,6,3,"2016-01-06","WN",19393,1465,"MCO","FL",1500,1458,-2,0,0,-1,"1500-1559",11,1509,1655,6,1715,1701,0,0,-1,"1700-1759",0,"",0,135,123,106,834,4,0,0
"264",1,1,6,3,"2016-01-06","WN",19393,2077,"MCO","FL",1040,1038,-2,0,0,-1,"1000-1059",13,1051,1236,7,1255,1243,0,0,-1,"1200-1259",0,"",0,135,125,105,834,4,1,0
"265",1,1,6,3,"2016-01-06","WN",19393,696,"BWI","MD",1500,1459,-1,0,0,-1,"1500-1559",11,1510,1545,7,1600,1552,0,0,-1,"1600-1659",0,"",0,60,53,35,210,1,0,0
"266",1,1,6,3,"2016-01-06","WN",19393,1165,"BWI","MD",955,959,4,4,0,0,"0900-0959",13,1012,1049,3,1055,1052,0,0,-1,"1000-1059",0,"",0,60,53,37,210,1,1,1
"267",1,1,6,3,"2016-01-06","WN",19393,2235,"DAL","TX",1310,1317,7,7,0,0,"1300-1359",8,1325,1632,7,1640,1639,0,0,-1,"1600-1659",0,"",0,150,142,127,1060,5,0,0
"268",1,1,6,3,"2016-01-06","WN",19393,1492,"TPA","FL",1225,1227,2,2,0,0,"1200-1259",8,1235,1423,5,1445,1428,0,0,-2,"1400-1459",0,"",0,140,121,108,873,4,0,0
"288",1,1,7,4,"2016-01-07","EV",20366,4260,"EWR","NJ",700,652,-8,0,0,-1,"0700-0759",13,705,800,8,832,808,0,0,-2,"0800-0859",0,"",0,92,76,55,319,2,1,1
"289",1,1,7,4,"2016-01-07","B6",20409,1285,"BOS","MA",630,624,-6,0,0,-1,"0600-0659",12,636,757,6,828,803,0,0,-2,"0800-0859",0,"",0,118,99,81,496,2,1,1
"331",1,1,8,5,"2016-01-08","DL",19790,1295,"ATL","GA",909,907,-2,0,0,-1,"0900-0959",16,923,1030,7,1045,1037,0,0,-1,"1000-1059",0,"",0,96,90,67,526,3,1,1
"332",1,1,8,5,"2016-01-08","DL",19790,1599,"ATL","GA",1054,1051,-3,0,0,-1,"1000-1059",13,1104,1211,7,1233,1218,0,0,-1,"1200-1259",0,"",0,99,87,67,526,3,1,0
"333",1,1,8,5,"2016-01-08","DL",19790,1677,"ATL","GA",725,722,-3,0,0,-1,"0700-0759",10,732,839,7,904,846,0,0,-2,"0900-0959",0,"",0,99,84,67,526,3,1,1
"334",1,1,8,5,"2016-01-08","EV",20366,4260,"EWR","NJ",700,656,-4,0,0,-1,"0700-0759",14,710,812,8,832,820,0,0,-1,"0800-0859",0,"",0,92,84,62,319,2,1,1
"335",1,1,8,5,"2016-01-08","EV",20366,4988,"DTW","MI",759,758,-1,0,0,-1,"0700-0759",19,817,853,7,920,900,0,0,-2,"0900-0959",0,"",0,81,62,36,201,1,1,1
"336",1,1,8,5,"2016-01-08","EV",20366,5166,"MSP","MN",957,954,-3,0,0,-1,"0900-0959",27,1021,1300,6,1305,1306,1,0,0,"1300-1359",0,"",0,128,132,99,726,3,1,0
"337",1,1,8,5,"2016-01-08","AA",19805,1252,"DFW","TX",825,823,-2,0,0,-1,"0800-0859",9,832,1135,5,1157,1140,0,0,-2,"1100-1159",0,"",0,152,137,123,1067,5,1,1
"338",1,1,8,5,"2016-01-08","AA",19805,1426,"DFW","TX",1045,1052,7,7,0,0,"1000-1059",22,1114,1421,10,1423,1431,8,0,0,"1400-1459",0,"",0,158,159,127,1067,5,1,0
"339",1,1,8,5,"2016-01-08","AA",19805,1801,"CLT","NC",945,940,-5,0,0,-1,"0900-0959",34,1014,1112,5,1114,1117,3,0,0,"1100-1159",0,"",0,89,97,58,366,2,1,1
"340",1,1,8,5,"2016-01-08","AA",19805,1815,"CLT","NC",1145,1133,-12,0,0,-1,"1100-1159",44,1217,1313,7,1316,1320,4,0,0,"1300-1359",0,"",0,91,107,56,366,2,1,0
"341",1,1,8,5,"2016-01-08","AA",19805,1904,"CLT","NC",759,756,-3,0,0,-1,"0700-0759",13,809,907,7,930,914,0,0,-2,"0900-0959",0,"",0,91,78,58,366,2,1,1
"342",1,1,8,5,"2016-01-08","B6",20409,1285,"BOS","MA",630,620,-10,0,0,-1,"0600-0659",39,659,821,8,828,829,1,0,0,"0800-0859",0,"",0,118,129,82,496,2,1,1
"343",1,1,8,5,"2016-01-08","B6",20409,1485,"BOS","MA",829,825,-4,0,0,-1,"0800-0859",15,840,1004,6,1024,1010,0,0,-1,"1000-1059",0,"",0,115,105,84,496,2,1,1
"344",1,1,8,5,"2016-01-08","UA",19977,1475,"ORD","IL",656,650,-6,0,0,-1,"0600-0659",16,706,905,7,925,912,0,0,-1,"0900-0959",0,"",0,89,82,59,413,2,1,1
"345",1,1,8,5,"2016-01-08","WN",19393,453,"ATL","GA",825,821,-4,0,0,-1,"0800-0859",25,846,954,6,1010,1000,0,0,-1,"1000-1059",0,"",0,105,99,68,526,3,1,1
"346",1,1,8,5,"2016-01-08","WN",19393,2077,"MCO","FL",1040,1040,0,0,0,0,"1000-1059",7,1047,1237,8,1255,1245,0,0,-1,"1200-1259",0,"",0,135,125,110,834,4,1,0
"347",1,1,8,5,"2016-01-08","WN",19393,923,"MDW","IL",730,730,0,0,0,0,"0700-0759",11,741,940,8,950,948,0,0,-1,"0900-0959",0,"",0,80,78,59,402,2,1,1
"348",1,1,8,5,"2016-01-08","WN",19393,1452,"MDW","IL",1000,1007,7,7,0,0,"1000-1059",8,1015,1214,6,1220,1220,0,0,0,"1200-1259",0,"",0,80,73,59,402,2,1,0
"349",1,1,8,5,"2016-01-08","WN",19393,1165,"BWI","MD",955,949,-6,0,0,-1,"0900-0959",17,1006,1041,7,1055,1048,0,0,-1,"1000-1059",0,"",0,60,59,35,210,1,1,1
"350",1,1,8,5,"2016-01-08","WN",19393,369,"RSW","FL",1135,1130,-5,0,0,-1,"1100-1159",8,1138,1341,6,1405,1347,0,0,-2,"1400-1459",0,"",0,150,137,123,966,4,1,0
"351",1,1,8,5,"2016-01-08","WN",19393,684,"HOU","TX",1050,1047,-3,0,0,-1,"1000-1059",21,1108,1423,7,1430,1430,0,0,0,"1400-1459",0,"",0,160,163,135,1131,5,1,0
"383",1,1,9,6,"2016-01-09","DL",19790,1295,"ATL","GA",909,906,-3,0,0,-1,"0900-0959",6,912,1020,7,1045,1027,0,0,-2,"1000-1059",0,"",0,96,81,68,526,3,1,1
"384",1,1,9,6,"2016-01-09","DL",19790,807,"DTW","MI",829,930,61,61,1,4,"0800-0859",20,950,1025,7,946,1032,46,1,3,"0900-0959",0,"",0,77,62,35,201,1,1,1
"385",1,1,9,6,"2016-01-09","EV",20366,4260,"EWR","NJ",855,851,-4,0,0,-1,"0800-0859",22,913,1018,9,1032,1027,0,0,-1,"1000-1059",0,"",0,97,96,65,319,2,1,1
"386",1,1,9,6,"2016-01-09","AA",19805,1801,"CLT","NC",945,940,-5,0,0,-1,"0900-0959",24,1004,1058,6,1114,1104,0,0,-1,"1100-1159",0,"",0,89,84,54,366,2,1,1
"387",1,1,9,6,"2016-01-09","B6",20409,1485,"BOS","MA",829,828,-1,0,0,-1,"0800-0859",18,846,1016,8,1024,1024,0,0,0,"1000-1059",0,"",0,115,116,90,496,2,1,1
"388",1,1,9,6,"2016-01-09","WN",19393,843,"ATL","GA",900,855,-5,0,0,-1,"0900-0959",9,904,1015,6,1040,1021,0,0,-2,"1000-1059",0,"",0,100,86,71,526,3,1,1
"389",1,1,9,6,"2016-01-09","WN",19393,3026,"BNA","TN",1055,1053,-2,0,0,-1,"1000-1059",11,1104,1303,8,1320,1311,0,0,-1,"1300-1359",0,"",0,85,78,59,462,2,1,0
"390",1,1,9,6,"2016-01-09","WN",19393,3111,"MCO","FL",855,848,-7,0,0,-1,"0800-0859",9,857,1044,8,1110,1052,0,0,-2,"1100-1159",0,"",0,135,124,107,834,4,1,1
"391",1,1,9,6,"2016-01-09","WN",19393,1287,"MDW","IL",750,744,-6,0,0,-1,"0700-0759",19,803,957,7,1010,1004,0,0,-1,"1000-1059",0,"",0,80,80,54,402,2,1,1
"392",1,1,9,6,"2016-01-09","WN",19393,3791,"TPA","FL",1010,1009,-1,0,0,-1,"1000-1059",11,1020,1216,7,1230,1223,0,0,-1,"1200-1259",0,"",0,140,134,116,873,4,1,0
"393",1,1,9,6,"2016-01-09","WN",19393,2710,"BWI","MD",1205,1201,-4,0,0,-1,"1200-1259",10,1211,1253,7,1305,1300,0,0,-1,"1300-1359",0,"",0,60,59,42,210,1,0,0
"394",1,1,9,6,"2016-01-09","WN",19393,3635,"DAL","TX",900,859,-1,0,0,-1,"0900-0959",14,913,1214,7,1235,1221,0,0,-1,"1200-1259",0,"",0,155,142,121,1060,5,1,0
"395",1,1,9,6,"2016-01-09","WN",19393,1181,"FLL","FL",1030,1040,10,10,0,0,"1000-1059",13,1053,1309,7,1310,1316,6,0,0,"1300-1359",0,"",0,160,156,136,994,4,1,0
"430",1,1,10,7,"2016-01-10","DL",19790,1295,"ATL","GA",909,927,18,18,1,1,"0900-0959",11,938,1047,5,1045,1052,7,0,0,"1000-1059",0,"",0,96,85,69,526,3,1,1
"431",1,1,10,7,"2016-01-10","DL",19790,1599,"ATL","GA",1054,1052,-2,0,0,-1,"1000-1059",19,1111,1221,6,1233,1227,0,0,-1,"1200-1259",0,"",0,99,95,70,526,3,1,0
"432",1,1,10,7,"2016-01-10","DL",19790,2580,"ATL","GA",1305,1305,0,0,0,0,"1300-1359",16,1321,1431,9,1445,1440,0,0,-1,"1400-1459",0,"",0,100,95,70,526,3,0,0
