"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"11",1,1,2,6,"2016-01-02","B6",20409,1286,"PIT","PA","BOS","MA",905,903,-2,0,0,-1,"0900-0959",7,910,1020,3,1037,1023,0,0,-1,"1000-1059",0,"",0,92,80,70,496,2,1,1
"12",1,1,2,6,"2016-01-02","B6",20409,2007,"PIT","PA","FLL","FL",700,704,4,4,0,0,"0700-0759",14,718,928,9,957,937,0,0,-2,"0900-0959",0,"",0,177,153,130,994,4,1,1
"13",1,1,2,6,"2016-01-02","AA",19805,727,"PIT","PA","LAX","CA",715,717,2,2,0,0,"0700-0759",12,729,906,19,952,925,0,0,-2,"0900-0959",0,"",0,337,308,277,2136,9,1,1
"14",1,1,2,6,"2016-01-02","AA",19805,1709,"PIT","PA","CLT","NC",659,703,4,4,0,0,"0600-0659",13,716,821,10,840,831,0,0,-1,"0800-0859",0,"",0,101,88,65,366,2,1,1
"15",1,1,2,6,"2016-01-02","AA",19805,1810,"PIT","PA","CLT","NC",1200,1205,5,5,0,0,"1200-1259",10,1215,1317,10,1335,1327,0,0,-1,"1300-1359",0,"",0,95,82,62,366,2,0,0
"16",1,1,2,6,"2016-01-02","AA",19805,1834,"PIT","PA","PHL","PA",720,717,-3,0,0,-1,"0700-0759",17,734,822,4,850,826,0,0,-2,"0800-0859",0,"",0,90,69,48,268,2,1,1
"17",1,1,2,6,"2016-01-02","DL",19790,692,"PIT","PA","ATL","GA",615,623,8,8,0,0,"0600-0659",10,633,750,5,820,755,0,0,-2,"0800-0859",0,"",0,125,92,77,526,3,1,1
"18",1,1,2,6,"2016-01-02","DL",19790,1522,"PIT","PA","ATL","GA",725,727,2,2,0,0,"0700-0759",15,742,859,5,934,904,0,0,-2,"0900-0959",0,"",0,129,97,77,526,3,1,1
"19",1,1,2,6,"2016-01-02","DL",19790,1599,"PIT","PA","ATL","GA",1330,1330,0,0,0,0,"1300-1359",11,1341,1455,11,1526,1506,0,0,-2,"1500-1559",0,"",0,116,96,74,526,3,0,0
"20",1,1,2,6,"2016-01-02","OO",20304,5764,"PIT","PA","ORD","IL",710,725,15,15,1,1,"0700-0759",18,743,750,7,759,757,0,0,-1,"0700-0759",0,"",0,109,92,67,413,2,1,1
"21",1,1,2,6,"2016-01-02","OO",20304,6499,"PIT","PA","ORD","IL",1420,1446,26,26,1,1,"1400-1459",13,1459,1507,6,1508,1513,5,0,0,"1500-1559",0,"",0,108,87,68,413,2,0,0
"22",1,1,2,6,"2016-01-02","UA",19977,590,"PIT","PA","ORD","IL",1028,1029,1,1,0,0,"1000-1059",16,1045,1053,3,1112,1056,0,0,-2,"1100-1159",0,"",0,104,87,68,413,2,1,1
"23",1,1,2,6,"2016-01-02","UA",19977,606,"PIT","PA","SFO","CA",625,642,17,17,1,1,"0600-0659",11,653,842,4,918,846,0,0,-2,"0900-0959",0,"",0,353,304,289,2254,10,1,1
"24",1,1,2,6,"2016-01-02","UA",19977,773,"PIT","PA","DEN","CO",715,742,27,27,1,1,"0700-0759",10,752,845,6,902,851,0,0,-1,"0900-0959",0,"",0,227,189,173,1290,6,1,1
"25",1,1,2,6,"2016-01-02","WN",19393,5955,"PIT","PA","ATL","GA",700,700,0,0,0,0,"0700-0759",8,708,825,20,910,845,0,0,-2,"0900-0959",0,"",0,130,105,77,526,3,1,1
"26",1,1,2,6,"2016-01-02","WN",19393,6448,"PIT","PA","BNA","TN",640,641,1,1,0,0,"0600-0659",8,649,655,7,735,702,0,0,-2,"0700-0759",0,"",0,115,81,66,462,2,1,1
"27",1,1,2,6,"2016-01-02","WN",19393,6308,"PIT","PA","BWI","MD",900,900,0,0,0,0,"0900-0959",25,925,1004,4,1005,1008,3,0,0,"1000-1059",0,"",0,65,68,39,210,1,1,1
"28",1,1,2,6,"2016-01-02","WN",19393,6469,"PIT","PA","BWI","MD",1220,1226,6,6,0,0,"1200-1259",9,1235,1316,5,1320,1321,1,0,0,"1300-1359",0,"",0,60,55,41,210,1,0,0
"29",1,1,2,6,"2016-01-02","WN",19393,6654,"PIT","PA","BWI","MD",605,604,-1,0,0,-1,"0600-0659",7,611,653,5,720,658,0,0,-2,"0700-0759",0,"",0,75,54,42,210,1,1,1
"30",1,1,2,6,"2016-01-02","WN",19393,6117,"PIT","PA","DAL","TX",710,711,1,1,0,0,"0700-0759",9,720,854,5,925,859,0,0,-2,"0900-0959",0,"",0,195,168,154,1060,5,1,1
"31",1,1,2,6,"2016-01-02","WN",19393,6574,"PIT","PA","DEN","CO",835,833,-2,0,0,-1,"0800-0859",8,841,940,7,1025,947,0,0,-2,"1000-1059",0,"",0,230,194,179,1290,6,1,1
"32",1,1,2,6,"2016-01-02","WN",19393,3047,"PIT","PA","FLL","FL",640,658,18,18,1,1,"0600-0659",9,707,913,18,930,931,1,0,0,"0900-0959",0,"",0,170,153,126,994,4,1,1
"33",1,1,2,6,"2016-01-02","WN",19393,6534,"PIT","PA","LAS","NV",1300,1258,-2,0,0,-1,"1300-1359",8,1306,1422,4,1500,1426,0,0,-2,"1500-1559",0,"",0,300,268,256,1910,8,0,0
"34",1,1,2,6,"2016-01-02","WN",19393,4935,"PIT","PA","MCO","FL",530,529,-1,0,0,-1,"0001-0559",7,536,731,8,750,739,0,0,-1,"0700-0759",0,"",0,140,130,115,834,4,1,1
"35",1,1,2,6,"2016-01-02","WN",19393,5878,"PIT","PA","MCO","FL",1125,1123,-2,0,0,-1,"1100-1159",28,1151,1343,6,1350,1349,0,0,-1,"1300-1359",0,"",0,145,146,112,834,4,1,0
"36",1,1,2,6,"2016-01-02","WN",19393,3203,"PIT","PA","MDW","IL",1330,1326,-4,0,0,-1,"1300-1359",6,1332,1334,4,1400,1338,0,0,-2,"1400-1459",0,"",0,90,72,62,402,2,0,0
"37",1,1,2,6,"2016-01-02","WN",19393,4780,"PIT","PA","MDW","IL",1005,1001,-4,0,0,-1,"1000-1059",9,1010,1016,6,1035,1022,0,0,-1,"1000-1059",0,"",0,90,81,66,402,2,1,1
"38",1,1,2,6,"2016-01-02","WN",19393,4887,"PIT","PA","MDW","IL",740,736,-4,0,0,-1,"0700-0759",18,754,759,6,815,805,0,0,-1,"0800-0859",0,"",0,95,89,65,402,2,1,1
"39",1,1,2,6,"2016-01-02","WN",19393,4890,"PIT","PA","MDW","IL",545,543,-2,0,0,-1,"0001-0559",10,553,600,7,615,607,0,0,-1,"0600-0659",0,"",0,90,84,67,402,2,1,1
"40",1,1,2,6,"2016-01-02","WN",19393,4893,"PIT","PA","MDW","IL",1510,1505,-5,0,0,-1,"1500-1559",7,1512,1517,17,1540,1534,0,0,-1,"1500-1559",0,"",0,90,89,65,402,2,0,0
"41",1,1,2,6,"2016-01-02","WN",19393,4786,"PIT","PA","PHX","AZ",540,538,-2,0,0,-1,"0001-0559",10,548,753,5,835,758,0,0,-2,"0800-0859",0,"",0,295,260,245,1814,8,1,1
"42",1,1,2,6,"2016-01-02","WN",19393,4951,"PIT","PA","RSW","FL",935,1002,27,27,1,1,"0900-0959",10,1012,1235,7,1230,1242,12,0,0,"1200-1259",0,"",0,175,160,143,966,4,1,0
"43",1,1,2,6,"2016-01-02","WN",19393,5189,"PIT","PA","RSW","FL",1455,1500,5,5,0,0,"1400-1459",9,1509,1724,3,1735,1727,0,0,-1,"1700-1759",0,"",0,160,147,135,966,4,0,0
"44",1,1,2,6,"2016-01-02","WN",19393,4779,"PIT","PA","TPA","FL",505,506,1,1,0,0,"0001-0559",25,531,735,5,730,740,10,0,0,"0700-0759",0,"",0,145,154,124,873,4,1,1
"45",1,1,2,6,"2016-01-02","WN",19393,6516,"PIT","PA","TPA","FL",1210,1237,27,27,1,1,"1200-1259",8,1245,1443,4,1430,1447,17,1,1,"1400-1459",0,"",0,140,130,118,873,4,0,0
"46",1,1,2,6,"2016-01-02","EV",20366,4260,"EWR","NJ","PIT","PA",1042,1035,-7,0,0,-1,"1000-1059",20,1055,1155,5,1219,1200,0,0,-2,"1200-1259",0,"",0,97,85,60,319,2,1,0
"47",1,1,2,6,"2016-01-02","EV",20366,5931,"EWR","NJ","PIT","PA",911,934,23,23,1,1,"0900-0959",18,952,1051,7,1048,1058,10,0,0,"1000-1059",0,"",0,97,84,59,319,2,1,1
"48",1,1,2,6,"2016-01-02","AA",19805,1426,"DFW","TX","PIT","PA",1045,1048,3,3,0,0,"1000-1059",15,1103,1408,3,1423,1411,0,0,-1,"1400-1459",0,"",0,158,143,125,1067,5,1,0
"49",1,1,2,6,"2016-01-02","B6",20409,1285,"BOS","MA","PIT","PA",625,622,-3,0,0,-1,"0600-0659",13,635,751,3,824,754,0,0,-2,"0800-0859",0,"",0,119,92,76,496,2,1,1
"50",1,1,2,6,"2016-01-02","AA",19805,1801,"CLT","NC","PIT","PA",945,942,-3,0,0,-1,"0900-0959",21,1003,1102,4,1112,1106,0,0,-1,"1100-1159",0,"",0,87,84,59,366,2,1,1
"51",1,1,2,6,"2016-01-02","DL",19790,1295,"ATL","GA","PIT","PA",907,945,38,38,1,2,"0900-0959",16,1001,1112,5,1043,1117,34,1,2,"1000-1059",0,"",0,96,92,71,526,3,1,1
"52",1,1,2,6,"2016-01-02","DL",19790,1599,"ATL","GA","PIT","PA",1115,1113,-2,0,0,-1,"1100-1159",16,1129,1244,7,1255,1251,0,0,-1,"1200-1259",0,"",0,100,98,75,526,3,1,0
"53",1,1,2,6,"2016-01-02","OO",20304,6353,"ORD","IL","PIT","PA",1105,1156,51,51,1,3,"1100-1159",14,1210,1410,5,1334,1415,41,1,2,"1300-1359",0,"",0,89,79,60,413,2,1,0
"54",1,1,2,6,"2016-01-02","UA",19977,648,"DEN","CO","PIT","PA",1000,1003,3,3,0,0,"1000-1059",19,1022,1453,4,1458,1457,0,0,-1,"1400-1459",0,"",0,178,174,151,1290,6,1,0
"55",1,1,2,6,"2016-01-02","WN",19393,4893,"BWI","MD","PIT","PA",1335,1331,-4,0,0,-1,"1300-1359",10,1341,1420,6,1435,1426,0,0,-1,"1400-1459",0,"",0,60,55,39,210,1,0,0
"56",1,1,2,6,"2016-01-02","WN",19393,4917,"BWI","MD","PIT","PA",1045,1040,-5,0,0,-1,"1000-1059",8,1048,1126,6,1145,1132,0,0,-1,"1100-1159",0,"",0,60,52,38,210,1,1,1
"57",1,1,2,6,"2016-01-02","WN",19393,3203,"FLL","FL","PIT","PA",1015,1013,-2,0,0,-1,"1000-1059",12,1025,1240,7,1300,1247,0,0,-1,"1300-1359",0,"",0,165,154,135,994,4,1,0
"58",1,1,2,6,"2016-01-02","WN",19393,5189,"HOU","TX","PIT","PA",1045,1049,4,4,0,0,"1000-1059",8,1057,1411,5,1425,1416,0,0,-1,"1400-1459",0,"",0,160,147,134,1131,5,1,0
"59",1,1,2,6,"2016-01-02","WN",19393,6848,"MCO","FL","PIT","PA",640,657,17,17,1,1,"0600-0659",12,709,905,6,855,911,16,1,1,"0800-0859",0,"",0,135,134,116,834,4,1,1
"60",1,1,2,6,"2016-01-02","WN",19393,6308,"MDW","IL","PIT","PA",545,543,-2,0,0,-1,"0001-0559",9,552,754,7,805,801,0,0,-1,"0800-0859",0,"",0,80,78,62,402,2,1,1
"61",1,1,2,6,"2016-01-02","WN",19393,6534,"MDW","IL","PIT","PA",1010,1004,-6,0,0,-1,"1000-1059",9,1013,1212,6,1225,1218,0,0,-1,"1200-1259",0,"",0,75,74,59,402,2,1,0
"62",1,1,2,6,"2016-01-02","WN",19393,5256,"ATL","GA","PIT","PA",845,902,17,17,1,1,"0800-0859",19,921,1039,6,1025,1045,20,1,1,"1000-1059",0,"",0,100,103,78,526,3,1,1
"63",1,1,2,6,"2016-01-02","WN",19393,6515,"RSW","FL","PIT","PA",910,909,-1,0,0,-1,"0900-0959",12,921,1129,7,1135,1136,1,0,0,"1100-1159",0,"",0,145,147,128,966,4,1,1
"64",1,1,2,6,"2016-01-02","WN",19393,4780,"TPA","FL","PIT","PA",715,712,-3,0,0,-1,"0700-0759",10,722,919,6,930,925,0,0,-1,"0900-0959",0,"",0,135,133,117,873,4,1,1
"65",1,1,3,7,"2016-01-03","DL",19790,2200,"PIT","PA","MSP","MN",640,642,2,2,0,0,"0600-0659",22,704,755,3,814,758,0,0,-2,"0800-0859",0,"",0,154,136,111,726,3,1,1
"66",1,1,3,7,"2016-01-03","DL",19790,2494,"PIT","PA","DTW","MI",629,630,1,1,0,0,"0600-0659",19,649,740,7,745,747,2,0,0,"0700-0759",0,"",0,76,77,51,201,1,1,1
"67",1,1,3,7,"2016-01-03","DL",19790,692,"PIT","PA","ATL","GA",615,614,-1,0,0,-1,"0600-0659",19,633,755,4,820,759,0,0,-2,"0800-0859",0,"",0,125,105,82,526,3,1,1
"68",1,1,3,7,"2016-01-03","EV",20366,4641,"PIT","PA","ORD","IL",555,549,-6,0,0,-1,"0001-0559",12,601,617,12,646,629,0,0,-2,"0600-0659",0,"",0,111,100,76,413,2,1,1
"69",1,1,3,7,"2016-01-03","AA",19805,1984,"PIT","PA","CLT","NC",515,516,1,1,0,0,"0001-0559",23,539,641,7,648,648,0,0,0,"0600-0659",0,"",0,93,92,62,366,2,1,1
"70",1,1,3,7,"2016-01-03","AA",19805,727,"PIT","PA","LAX","CA",605,558,-7,0,0,-1,"0600-0659",10,608,802,6,841,808,0,0,-2,"0800-0859",0,"",0,336,310,294,2136,9,1,1
"71",1,1,3,7,"2016-01-03","UA",19977,606,"PIT","PA","SFO","CA",600,607,7,7,0,0,"0600-0659",11,618,814,7,853,821,0,0,-2,"0800-0859",0,"",0,353,314,296,2254,10,1,1
"72",1,1,3,7,"2016-01-03","WN",19393,4627,"PIT","PA","ATL","GA",645,645,0,0,0,0,"0600-0659",9,654,815,6,850,821,0,0,-2,"0800-0859",0,"",0,125,96,81,526,3,1,1
"73",1,1,3,7,"2016-01-03","WN",19393,4208,"PIT","PA","BNA","TN",625,629,4,4,0,0,"0600-0659",8,637,650,5,715,655,0,0,-2,"0700-0759",0,"",0,110,86,73,462,2,1,1
"74",1,1,3,7,"2016-01-03","WN",19393,2685,"PIT","PA","BWI","MD",520,519,-1,0,0,-1,"0001-0559",22,541,618,6,630,624,0,0,-1,"0600-0659",0,"",0,70,65,37,210,1,1,1
"75",1,1,3,7,"2016-01-03","WN",19393,3229,"PIT","PA","DAL","TX",605,605,0,0,0,0,"0600-0659",11,616,744,4,820,748,0,0,-2,"0800-0859",0,"",0,195,163,148,1060,5,1,1
"76",1,1,3,7,"2016-01-03","WN",19393,4135,"PIT","PA","MCO","FL",550,547,-3,0,0,-1,"0001-0559",8,555,801,8,810,809,0,0,-1,"0800-0859",0,"",0,140,142,126,834,4,1,1
"77",1,1,3,7,"2016-01-03","WN",19393,3378,"PIT","PA","MDW","IL",535,533,-2,0,0,-1,"0001-0559",12,545,553,5,610,558,0,0,-1,"0600-0659",0,"",0,95,85,68,402,2,1,1
"78",1,1,3,7,"2016-01-03","WN",19393,4476,"PIT","PA","PHX","AZ",655,655,0,0,0,0,"0600-0659",8,703,917,5,955,922,0,0,-2,"0900-0959",0,"",0,300,267,254,1814,8,1,1
"79",1,1,3,7,"2016-01-03","WN",19393,3308,"PIT","PA","TPA","FL",505,500,-5,0,0,-1,"0001-0559",10,510,715,5,730,720,0,0,-1,"0700-0759",0,"",0,145,140,125,873,4,1,1
"80",1,1,3,7,"2016-01-03","AA",19805,1677,"CLT","NC","PIT","PA",20,14,-6,0,0,-1,"0001-0559",10,24,121,5,134,126,0,0,-1,"0001-0559",0,"",0,74,72,57,366,2,1,1
"81",1,1,4,1,"2016-01-04","DL",19790,1522,"PIT","PA","ATL","GA",725,719,-6,0,0,-1,"0700-0759",34,753,907,5,934,912,0,0,-2,"0900-0959",0,"",0,129,113,74,526,3,1,1
"82",1,1,4,1,"2016-01-04","DL",19790,1599,"PIT","PA","ATL","GA",1330,1332,2,2,0,0,"1300-1359",13,1345,1503,15,1525,1518,0,0,-1,"1500-1559",0,"",0,115,106,78,526,3,0,0
"83",1,1,4,1,"2016-01-04","DL",19790,2494,"PIT","PA","DTW","MI",629,629,0,0,0,0,"0600-0659",41,710,746,9,745,755,10,0,0,"0700-0759",0,"",0,76,86,36,201,1,1,1
"84",1,1,4,1,"2016-01-04","DL",19790,2590,"PIT","PA","MSP","MN",1706,1718,12,12,0,0,"1700-1759",19,1737,1832,7,1829,1839,10,0,0,"1800-1859",0,"",0,143,141,115,726,3,0,0
"85",1,1,4,1,"2016-01-04","DL",19790,2615,"PIT","PA","ATL","GA",1559,1605,6,6,0,0,"1500-1559",9,1614,1723,5,1757,1728,0,0,-2,"1700-1759",0,"",0,118,83,69,526,3,0,0
"86",1,1,4,1,"2016-01-04","DL",19790,692,"PIT","PA","ATL","GA",615,611,-4,0,0,-1,"0600-0659",31,642,758,7,820,805,0,0,-1,"0800-0859",0,"",0,125,114,76,526,3,1,1
"87",1,1,4,1,"2016-01-04","DL",19790,1295,"PIT","PA","ATL","GA",1121,1135,14,14,0,0,"1100-1159",12,1147,1302,7,1312,1309,0,0,-1,"1300-1359",0,"",0,111,94,75,526,3,1,0
"88",1,1,4,1,"2016-01-04","DL",19790,1462,"PIT","PA","ATL","GA",1745,1757,12,12,0,0,"1700-1759",10,1807,1916,10,1943,1926,0,0,-2,"1900-1959",0,"",0,118,89,69,526,3,0,0
"89",1,1,4,1,"2016-01-04","DL",19790,2200,"PIT","PA","MSP","MN",640,642,2,2,0,0,"0600-0659",30,712,807,6,813,813,0,0,0,"0800-0859",0,"",0,153,151,115,726,3,1,1
"90",1,1,4,1,"2016-01-04","EV",20366,6118,"PIT","PA","EWR","NJ",1526,1519,-7,0,0,-1,"1500-1559",47,1606,1716,8,1658,1724,26,1,1,"1600-1659",0,"",0,92,125,70,319,2,0,0
"91",1,1,4,1,"2016-01-04","AA",19805,1252,"PIT","PA","DFW","TX",1237,1239,2,2,0,0,"1200-1259",10,1249,1412,8,1455,1420,0,0,-2,"1400-1459",0,"",0,198,161,143,1067,5,0,0
"92",1,1,4,1,"2016-01-04","AA",19805,1426,"PIT","PA","DFW","TX",1518,1504,-14,0,0,-1,"1500-1559",10,1514,1634,5,1734,1639,0,0,-2,"1700-1759",0,"",0,196,155,140,1067,5,0,0
"93",1,1,4,1,"2016-01-04","AA",19805,1347,"PIT","PA","DFW","TX",743,741,-2,0,0,-1,"0700-0759",27,808,934,32,1010,1006,0,0,-1,"1000-1059",0,"",0,207,205,146,1067,5,1,1
"94",1,1,4,1,"2016-01-04","AA",19805,1889,"PIT","PA","CLT","NC",1355,1355,0,0,0,0,"1300-1359",11,1406,1515,11,1527,1526,0,0,-1,"1500-1559",0,"",0,92,91,69,366,2,0,0
"95",1,1,4,1,"2016-01-04","AA",19805,1932,"PIT","PA","CLT","NC",701,654,-7,0,0,-1,"0700-0759",23,717,820,3,845,823,0,0,-2,"0800-0859",0,"",0,104,89,63,366,2,1,1
"96",1,1,4,1,"2016-01-04","AA",19805,2000,"PIT","PA","CLT","NC",1020,1014,-6,0,0,-1,"1000-1059",10,1024,1123,9,1157,1132,0,0,-2,"1100-1159",0,"",0,97,78,59,366,2,1,1
"97",1,1,4,1,"2016-01-04","AA",19805,625,"PIT","PA","PHX","AZ",659,657,-2,0,0,-1,"0600-0659",47,744,950,6,953,956,3,0,0,"0900-0959",0,"",0,294,299,246,1814,8,1,1
"98",1,1,4,1,"2016-01-04","AA",19805,653,"PIT","PA","PHX","AZ",1705,1730,25,25,1,1,"1700-1759",11,1741,1944,4,1951,1948,0,0,-1,"1900-1959",0,"",0,286,258,243,1814,8,0,0
"99",1,1,4,1,"2016-01-04","AA",19805,727,"PIT","PA","LAX","CA",605,606,1,1,0,0,"0600-0659",39,645,822,68,841,930,49,1,3,"0800-0859",0,"",0,336,384,277,2136,9,1,1
"100",1,1,4,1,"2016-01-04","AA",19805,1697,"PIT","PA","PHL","PA",720,716,-4,0,0,-1,"0700-0759",78,834,918,7,851,925,34,1,2,"0800-0859",0,"",0,91,129,44,268,2,1,1
"101",1,1,4,1,"2016-01-04","AA",19805,2045,"PIT","PA","CLT","NC",1200,1314,74,74,1,4,"1200-1259",12,1326,1421,4,1335,1425,50,1,3,"1300-1359",0,"",0,95,71,55,366,2,0,0
"102",1,1,4,1,"2016-01-04","AA",19805,2053,"PIT","PA","CLT","NC",850,846,-4,0,0,-1,"0800-0859",30,916,1025,6,1031,1031,0,0,0,"1000-1059",0,"",0,101,105,69,366,2,1,1
"103",1,1,4,1,"2016-01-04","AA",19805,2061,"PIT","PA","CLT","NC",515,512,-3,0,0,-1,"0001-0559",33,545,643,5,648,648,0,0,0,"0600-0659",0,"",0,93,96,58,366,2,1,1
"104",1,1,4,1,"2016-01-04","AA",19805,2067,"PIT","PA","CLT","NC",1530,1524,-6,0,0,-1,"1500-1559",10,1534,1631,8,1704,1639,0,0,-2,"1700-1759",0,"",0,94,75,57,366,2,0,0
"105",1,1,4,1,"2016-01-04","B6",20409,1286,"PIT","PA","BOS","MA",905,903,-2,0,0,-1,"0900-0959",35,938,1050,5,1037,1055,18,1,1,"1000-1059",0,"",0,92,112,72,496,2,1,1
"106",1,1,4,1,"2016-01-04","B6",20409,2007,"PIT","PA","FLL","FL",700,656,-4,0,0,-1,"0700-0759",34,730,948,8,957,956,0,0,-1,"0900-0959",0,"",0,177,180,138,994,4,1,1
"107",1,1,4,1,"2016-01-04","OO",20304,5640,"PIT","PA","ORD","IL",1420,1726,186,186,1,12,"1400-1459",17,1743,1753,11,1506,1804,178,1,11,"1500-1559",0,"",0,106,98,70,413,2,0,0
"108",1,1,4,1,"2016-01-04","UA",19977,606,"PIT","PA","SFO","CA",600,617,17,17,1,1,"0600-0659",22,639,830,6,853,836,0,0,-2,"0800-0859",0,"",0,353,319,291,2254,10,1,1
"109",1,1,4,1,"2016-01-04","UA",19977,709,"PIT","PA","DEN","CO",1542,1551,9,9,0,0,"1500-1559",9,1600,1653,9,1726,1702,0,0,-2,"1700-1759",0,"",0,224,191,173,1290,6,0,0
"110",1,1,4,1,"2016-01-04","UA",19977,773,"PIT","PA","DEN","CO",739,737,-2,0,0,-1,"0700-0759",25,802,853,4,926,857,0,0,-2,"0900-0959",0,"",0,227,200,171,1290,6,1,1
"111",1,1,4,1,"2016-01-04","UA",19977,1492,"PIT","PA","IAH","TX",713,716,3,3,0,0,"0700-0759",24,740,914,12,939,926,0,0,-1,"0900-0959",0,"",0,206,190,154,1117,5,1,1
"112",1,1,4,1,"2016-01-04","WN",19393,2793,"PIT","PA","ATL","GA",705,702,-3,0,0,-1,"0700-0759",26,728,844,8,915,852,0,0,-2,"0900-0959",0,"",0,130,110,76,526,3,1,1
"113",1,1,4,1,"2016-01-04","WN",19393,432,"PIT","PA","BNA","TN",545,545,0,0,0,0,"0001-0559",33,618,631,6,635,637,2,0,0,"0600-0659",0,"",0,110,112,73,462,2,1,1
"114",1,1,4,1,"2016-01-04","WN",19393,285,"PIT","PA","BWI","MD",1245,1254,9,9,0,0,"1200-1259",8,1302,1345,4,1355,1349,0,0,-1,"1300-1359",0,"",0,70,55,43,210,1,0,0
"115",1,1,4,1,"2016-01-04","WN",19393,2118,"PIT","PA","BWI","MD",530,527,-3,0,0,-1,"0001-0559",28,555,634,9,640,643,3,0,0,"0600-0659",0,"",0,70,76,39,210,1,1,1
"116",1,1,4,1,"2016-01-04","WN",19393,2464,"PIT","PA","DAL","TX",645,645,0,0,0,0,"0600-0659",33,718,845,6,900,851,0,0,-1,"0900-0959",0,"",0,195,186,147,1060,5,1,1
"117",1,1,4,1,"2016-01-04","WN",19393,1693,"PIT","PA","DEN","CO",830,828,-2,0,0,-1,"0800-0859",24,852,940,6,1020,946,0,0,-2,"1000-1059",0,"",0,230,198,168,1290,6,1,1
"118",1,1,4,1,"2016-01-04","WN",19393,2101,"PIT","PA","FLL","FL",630,629,-1,0,0,-1,"0600-0659",34,703,928,6,920,934,14,0,0,"0900-0959",0,"",0,170,185,145,994,4,1,1
