"","X","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_STATE_ABR","DEST_WAC","CRS_DEP_TIME","CRS_ARR_TIME","CRS_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"50",50,2016,1,1,21,4,"2016-01-21","WN",19393,1866,14122,1412202,30198,"PIT","PA",23,12889,1288903,32211,"LAS","NV",85,715,925,310,1910,8,1,1
"51",51,2016,1,1,21,4,"2016-01-21","UA",19977,1450,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,753,1030,217,1117,5,1,1
"52",52,2016,1,1,21,4,"2016-01-21","EV",20366,4212,14122,1412202,30198,"PIT","PA",23,11618,1161802,31703,"EWR","NJ",21,907,1034,87,319,2,1,1
"53",53,2016,1,1,22,5,"2016-01-22","AA",19805,586,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,1720,2006,286,1814,8,0,0
"54",54,2016,1,1,22,5,"2016-01-22","UA",19977,220,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1720,1807,107,413,2,0,0
"55",55,2016,1,1,22,5,"2016-01-22","WN",19393,2690,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1745,1825,100,402,2,0,0
"56",56,2016,1,1,22,5,"2016-01-22","EV",20366,4989,14122,1412202,30198,"PIT","PA",23,13487,1348702,31650,"MSP","MN",63,1915,2043,148,726,3,0,0
"57",57,2016,1,1,23,6,"2016-01-23","WN",19393,3026,14122,1412202,30198,"PIT","PA",23,11259,1125903,30194,"DAL","TX",74,1400,1620,200,1060,5,0,0
"58",58,2016,1,1,23,6,"2016-01-23","DL",19790,2789,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1435,1631,116,526,3,0,0
"59",59,2016,1,1,24,7,"2016-01-24","WN",19393,1581,14122,1412202,30198,"PIT","PA",23,11259,1125903,30194,"DAL","TX",74,1505,1720,195,1060,5,0,0
"60",60,2016,1,1,24,7,"2016-01-24","AA",19805,1426,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,1518,1737,199,1067,5,0,0
"61",61,2016,1,1,24,7,"2016-01-24","UA",19977,709,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,1614,1756,222,1290,6,0,0
"62",62,2016,1,1,25,1,"2016-01-25","WN",19393,2077,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,1330,1620,290,1814,8,0,0
"63",63,2016,1,1,25,1,"2016-01-25","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1502,1700,118,526,3,0,0
"64",64,2016,1,1,26,2,"2016-01-26","WN",19393,1165,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1130,1350,140,834,4,1,0
"65",65,2016,1,1,26,2,"2016-01-26","AA",19805,2045,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1200,1335,95,366,2,0,0
"66",66,2016,1,1,26,2,"2016-01-26","UA",19977,338,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1427,1650,203,1117,5,0,0
"67",67,2016,1,1,27,3,"2016-01-27","WN",19393,453,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1040,1115,95,402,2,1,1
"68",68,2016,1,1,27,3,"2016-01-27","AA",19805,2045,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1200,1335,95,366,2,0,0
"69",69,2016,1,1,27,3,"2016-01-27","UA",19977,338,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1427,1646,199,1117,5,0,0
"70",70,2016,1,1,28,4,"2016-01-28","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"71",71,2016,1,1,29,5,"2016-01-29","WN",19393,901,14122,1412202,30198,"PIT","PA",23,12191,1219102,31453,"HOU","TX",74,1835,2100,205,1131,5,0,0
"72",72,2016,1,1,29,5,"2016-01-29","AA",19805,817,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1900,2035,95,366,2,0,0
"73",73,2016,1,1,30,6,"2016-01-30","AA",19805,1989,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,515,649,94,366,2,1,1
"74",74,2016,1,1,30,6,"2016-01-30","WN",19393,3255,14122,1412202,30198,"PIT","PA",23,10821,1082103,30852,"BWI","MD",35,545,700,75,210,1,1,1
"75",75,2016,1,1,30,6,"2016-01-30","DL",19790,1450,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,600,802,122,526,3,1,1
"76",76,2016,1,1,31,7,"2016-01-31","WN",19393,3184,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1200,1425,145,834,4,0,0
"77",77,2016,1,1,31,7,"2016-01-31","UA",19977,1151,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1344,1428,104,413,2,0,0
"78",78,2016,1,1,31,7,"2016-01-31","B6",20409,1786,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1959,2131,92,496,2,0,0
"79",79,2016,1,2,1,1,"2016-02-01","WN",19393,696,14122,1412202,30198,"PIT","PA",23,15304,1530402,33195,"TPA","FL",33,1635,1905,150,873,4,0,0
"80",80,2016,1,2,1,1,"2016-02-01","AA",19805,586,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,1720,2006,286,1814,8,0,0
"81",81,2016,1,2,1,1,"2016-02-01","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1745,1924,99,496,2,0,0
"82",82,2016,1,2,2,2,"2016-02-02","WN",19393,1165,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1130,1350,140,834,4,1,0
"83",83,2016,1,2,3,3,"2016-02-03","AA",19805,2113,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,700,1011,311,1814,8,1,1
"84",84,2016,1,2,3,3,"2016-02-03","WN",19393,1866,14122,1412202,30198,"PIT","PA",23,12889,1288903,32211,"LAS","NV",85,715,925,310,1910,8,1,1
"85",85,2016,1,2,4,4,"2016-02-04","WN",19393,1493,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1520,1805,165,966,4,0,0
"86",86,2016,1,2,4,4,"2016-02-04","AA",19805,1825,14122,1412202,30198,"PIT","PA",23,14100,1410002,34100,"PHL","PA",23,1530,1702,92,268,2,0,0
"87",87,2016,1,2,4,4,"2016-02-04","DL",19790,1462,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1759,1958,119,526,3,0,0
"88",88,2016,1,2,5,5,"2016-02-05","WN",19393,2622,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1640,1830,110,526,3,0,0
"89",89,2016,1,2,5,5,"2016-02-05","AA",19805,586,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,1720,2006,286,1814,8,0,0
"90",90,2016,1,2,5,5,"2016-02-05","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1745,1924,99,496,2,0,0
"91",91,2016,1,2,6,6,"2016-02-06","WN",19393,3063,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,625,925,180,994,4,1,1
"92",92,2016,1,2,6,6,"2016-02-06","DL",19790,2126,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,800,1003,123,526,3,1,1
"93",93,2016,1,2,7,7,"2016-02-07","AA",19805,1426,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,1518,1737,199,1067,5,0,0
"94",94,2016,1,2,7,7,"2016-02-07","WN",19393,1493,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1520,1805,165,966,4,0,0
"95",95,2016,1,2,8,1,"2016-02-08","WN",19393,2235,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1715,1940,145,834,4,0,0
"96",96,2016,1,2,8,1,"2016-02-08","DL",19790,1462,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1759,1958,119,526,3,0,0
"97",97,2016,1,2,9,2,"2016-02-09","WN",19393,1165,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1130,1350,140,834,4,1,0
"98",98,2016,1,2,10,3,"2016-02-10","DL",19790,1295,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1125,1318,113,526,3,1,0
"99",99,2016,1,2,10,3,"2016-02-10","WN",19393,1165,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1130,1350,140,834,4,1,0
"100",100,2016,1,2,10,3,"2016-02-10","AA",19805,2045,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1205,1340,95,366,2,0,0
"101",101,2016,1,2,11,4,"2016-02-11","WN",19393,1296,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,600,650,110,402,2,1,1
"102",102,2016,1,2,11,4,"2016-02-11","AA",19805,727,14122,1412202,30198,"PIT","PA",23,12892,1289203,32575,"LAX","CA",91,600,836,336,2136,9,1,1
"103",103,2016,1,2,11,4,"2016-02-11","B6",20409,2007,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,700,957,177,994,4,1,1
"104",104,2016,1,2,12,5,"2016-02-12","WN",19393,2087,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,635,920,165,834,4,1,1
"105",105,2016,1,2,12,5,"2016-02-12","AA",19805,806,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,655,842,107,366,2,1,1
"106",106,2016,1,2,12,5,"2016-02-12","B6",20409,2007,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,700,957,177,994,4,1,1
"107",107,2016,1,2,13,6,"2016-02-13","WN",19393,3026,14122,1412202,30198,"PIT","PA",23,11259,1125903,30194,"DAL","TX",74,1400,1620,200,1060,5,0,0
"108",108,2016,1,2,14,7,"2016-02-14","DL",19790,1639,14122,1412202,30198,"PIT","PA",23,11433,1143302,31295,"DTW","MI",43,615,739,84,201,1,1,1
"109",109,2016,1,2,14,7,"2016-02-14","WN",19393,2873,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,640,940,180,994,4,1,1
"110",110,2016,1,2,14,7,"2016-02-14","UA",19977,643,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,750,841,111,413,2,1,1
"111",111,2016,1,2,14,7,"2016-02-14","EV",20366,3939,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1205,1251,106,413,2,0,0
"112",112,2016,1,2,15,1,"2016-02-15","WN",19393,369,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1440,1515,95,402,2,0,0
"113",113,2016,1,2,15,1,"2016-02-15","UA",19977,709,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,1612,1750,218,1290,6,0,0
"114",114,2016,1,2,16,2,"2016-02-16","WN",19393,1493,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1520,1805,165,966,4,0,0
"115",115,2016,1,2,16,2,"2016-02-16","EV",20366,5502,14122,1412202,30198,"PIT","PA",23,12953,1295302,31703,"LGA","NY",22,1714,1844,90,335,2,0,0
"116",116,2016,1,2,17,3,"2016-02-17","WN",19393,2690,14122,1412202,30198,"PIT","PA",23,13232,1323202,30977,"MDW","IL",41,1745,1825,100,402,2,0,0
"117",117,2016,1,2,18,4,"2016-02-18","WN",19393,901,14122,1412202,30198,"PIT","PA",23,12191,1219102,31453,"HOU","TX",74,1835,2100,205,1131,5,0,0
"118",118,2016,1,2,18,4,"2016-02-18","DL",19790,707,14122,1412202,30198,"PIT","PA",23,11433,1143302,31295,"DTW","MI",43,1920,2030,70,201,1,0,0
"119",119,2016,1,2,19,5,"2016-02-19","WN",19393,696,14122,1412202,30198,"PIT","PA",23,15304,1530402,33195,"TPA","FL",33,1635,1905,150,873,4,0,0
"120",120,2016,1,2,19,5,"2016-02-19","UA",19977,220,14122,1412202,30198,"PIT","PA",23,13930,1393004,30977,"ORD","IL",41,1737,1825,108,413,2,0,0
"121",121,2016,1,2,19,5,"2016-02-19","EV",20366,4172,14122,1412202,30198,"PIT","PA",23,11618,1161802,31703,"EWR","NJ",21,1831,2000,89,319,2,0,0
"122",122,2016,1,2,20,6,"2016-02-20","WN",19393,2952,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,550,845,175,966,4,1,1
"123",123,2016,1,2,20,6,"2016-02-20","AA",19805,647,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,700,1011,311,1814,8,1,1
"124",124,2016,1,2,21,7,"2016-02-21","WN",19393,3184,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1200,1425,145,834,4,0,0
"125",125,2016,1,2,21,7,"2016-02-21","AA",19805,1252,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,1240,1504,204,1067,5,0,0
"126",126,2016,1,2,22,1,"2016-02-22","WN",19393,656,14122,1412202,30198,"PIT","PA",23,10821,1082104,30852,"BWI","MD",35,540,655,75,210,1,1,1
"127",127,2016,1,2,22,1,"2016-02-22","DL",19790,1639,14122,1412202,30198,"PIT","PA",23,11433,1143302,31295,"DTW","MI",43,542,709,87,201,1,1,1
"128",128,2016,1,2,22,1,"2016-02-22","AA",19805,727,14122,1412202,30198,"PIT","PA",23,12892,1289203,32575,"LAX","CA",91,600,836,336,2136,9,1,1
"129",129,2016,1,2,23,2,"2016-02-23","WN",19393,2171,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,1935,2200,145,834,4,0,0
"130",130,2016,1,2,24,3,"2016-02-24","WN",19393,2077,14122,1412202,30198,"PIT","PA",23,14107,1410702,30466,"PHX","AZ",81,1330,1620,290,1814,8,0,0
"131",131,2016,1,2,24,3,"2016-02-24","AA",19805,1745,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1357,1530,93,366,2,0,0
"132",132,2016,1,2,24,3,"2016-02-24","DL",19790,2580,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,1515,1713,118,526,3,0,0
"133",133,2016,1,2,25,4,"2016-02-25","WN",19393,1493,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1520,1805,165,966,4,0,0
"134",134,2016,1,2,26,5,"2016-02-26","WN",19393,1866,14122,1412202,30198,"PIT","PA",23,12889,1288903,32211,"LAS","NV",85,715,925,310,1910,8,1,1
"135",135,2016,1,2,26,5,"2016-02-26","B6",20409,1286,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,905,1037,92,496,2,1,1
"136",136,2016,1,2,27,6,"2016-02-27","WN",19393,1917,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,1310,1550,160,994,4,0,0
"137",137,2016,1,2,27,6,"2016-02-27","B6",20409,1686,14122,1412202,30198,"PIT","PA",23,10721,1072102,30721,"BOS","MA",13,1740,1919,99,496,2,0,0
"138",138,2016,1,2,28,7,"2016-02-28","WN",19393,2873,14122,1412202,30198,"PIT","PA",23,11697,1169704,32467,"FLL","FL",33,640,940,180,994,4,1,1
"139",139,2016,1,2,29,1,"2016-02-29","WN",19393,2087,14122,1412202,30198,"PIT","PA",23,13204,1320402,31454,"MCO","FL",33,635,920,165,834,4,1,1
"140",140,2016,1,2,29,1,"2016-02-29","AA",19805,806,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,655,842,107,366,2,1,1
"141",141,2016,1,2,29,1,"2016-02-29","DL",19790,2126,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,800,1006,126,526,3,1,1
"142",142,2016,1,3,1,2,"2016-03-01","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"143",143,2016,1,3,1,2,"2016-03-01","DL",19790,1677,14122,1412202,30198,"PIT","PA",23,10397,1039705,30397,"ATL","GA",34,946,1141,115,526,3,1,1
"144",144,2016,1,3,1,2,"2016-03-01","AA",19805,857,14122,1412202,30198,"PIT","PA",23,11057,1105703,31057,"CLT","NC",36,1025,1203,98,366,2,1,0
"145",145,2016,1,3,1,2,"2016-03-01","OO",20304,5351,14122,1412202,30198,"PIT","PA",23,12266,1226603,31453,"IAH","TX",74,1425,1646,201,1117,5,0,0
"146",146,2016,1,3,2,3,"2016-03-02","WN",19393,1493,14122,1412202,30198,"PIT","PA",23,14635,1463502,31714,"RSW","FL",33,1520,1805,165,966,4,0,0
"147",147,2016,1,3,3,4,"2016-03-03","AA",19805,1347,14122,1412202,30198,"PIT","PA",23,11298,1129804,30194,"DFW","TX",74,806,1030,204,1067,5,1,1
"148",148,2016,1,3,3,4,"2016-03-03","WN",19393,758,14122,1412202,30198,"PIT","PA",23,11292,1129202,30325,"DEN","CO",82,930,1115,225,1290,6,1,1
"149",149,2016,1,3,4,5,"2016-03-04","WN",19393,901,14122,1412202,30198,"PIT","PA",23,12191,1219102,31453,"HOU","TX",74,1835,2100,205,1131,5,0,0
"150",150,2016,1,3,4,5,"2016-03-04","EV",20366,5559,14122,1412202,30198,"PIT","PA",23,11433,1143302,31295,"DTW","MI",43,1913,2019,66,201,1,0,0
