"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","ORIGIN","ORIGIN_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"124",1,1,29,4,"2015-01-29","US",20355,1801,"CLT","NC",950,942,-8,0,0,-1,"0900-0959",40,1022,1121,9,1120,1130,10,0,0,"1100-1159",0,"",0,90,108,59,366,2,1,1
"125",1,1,29,4,"2015-01-29","US",20355,1815,"CLT","NC",1145,1139,-6,0,0,-1,"1100-1159",17,1156,1258,7,1310,1305,0,0,-1,"1300-1359",0,"",0,85,86,62,366,2,1,0
"126",1,1,29,4,"2015-01-29","US",20355,1838,"PHL","PA",2030,2030,0,0,0,0,"2000-2059",38,2108,2157,6,2143,2203,20,1,1,"2100-2159",0,"",0,73,93,49,268,2,0,0
"127",1,1,29,4,"2015-01-29","US",20355,1840,"CLT","NC",1805,1759,-6,0,0,-1,"1800-1859",9,1808,1907,5,1926,1912,0,0,-1,"1900-1959",0,"",0,81,73,59,366,2,0,0
"128",1,1,29,4,"2015-01-29","US",20355,1842,"CLT","NC",1315,1319,4,4,0,0,"1300-1359",20,1339,1440,5,1440,1445,5,0,0,"1400-1459",0,"",0,85,86,61,366,2,0,0
"132",1,1,29,4,"2015-01-29","US",20355,1904,"CLT","NC",800,752,-8,0,0,-1,"0800-0859",12,804,906,7,928,913,0,0,-1,"0900-0959",0,"",0,88,81,62,366,2,1,1
"133",1,1,29,4,"2015-01-29","US",20355,1968,"CLT","NC",1450,1445,-5,0,0,-1,"1400-1459",20,1505,1606,6,1613,1612,0,0,-1,"1600-1659",0,"",0,83,87,61,366,2,0,0
"138",1,1,29,4,"2015-01-29","US",20355,2030,"PHL","PA",1345,1337,-8,0,0,-1,"1300-1359",17,1354,1446,5,1500,1451,0,0,-1,"1500-1559",0,"",0,75,74,52,268,2,0,0
"142",1,1,31,6,"2015-01-31","US",20355,1990,"CLT","NC",2209,2209,0,0,0,0,"2200-2259",20,2229,2325,4,2326,2329,3,0,0,"2300-2359",0,"",0,77,80,56,366,2,0,0
"144",1,1,28,3,"2015-01-28","US",20355,1968,"CLT","NC",1450,1445,-5,0,0,-1,"1400-1459",24,1509,1612,6,1613,1618,5,0,0,"1600-1659",0,"",0,83,93,63,366,2,0,0
"149",1,1,28,3,"2015-01-28","US",20355,2030,"PHL","PA",1345,1350,5,5,0,0,"1300-1359",22,1412,1457,5,1500,1502,2,0,0,"1500-1559",0,"",0,75,72,45,268,2,0,0
"153",1,1,30,5,"2015-01-30","US",20355,1968,"CLT","NC",1450,1445,-5,0,0,-1,"1400-1459",20,1505,1614,8,1613,1622,9,0,0,"1600-1659",0,"",0,83,97,69,366,2,0,0
"158",1,1,30,5,"2015-01-30","US",20355,2030,"PHL","PA",1345,1337,-8,0,0,-1,"1300-1359",17,1354,1445,5,1500,1450,0,0,-1,"1500-1559",0,"",0,75,73,51,268,2,0,0
"163",1,1,31,6,"2015-01-31","US",20355,489,"PHX","AZ",959,956,-3,0,0,-1,"0900-0959",58,1054,1620,5,1559,1625,26,1,1,"1500-1559",0,"",0,240,269,206,1814,8,1,0
"164",1,1,31,6,"2015-01-31","US",20355,634,"PHX","AZ",1555,1550,-5,0,0,-1,"1500-1559",14,1604,2128,5,2142,2133,0,0,-1,"2100-2159",0,"",0,227,223,204,1814,8,0,0
"166",1,1,31,6,"2015-01-31","US",20355,1745,"CLT","NC",1630,1624,-6,0,0,-1,"1600-1659",20,1644,1744,6,1752,1750,0,0,-1,"1700-1759",0,"",0,82,86,60,366,2,0,0
"167",1,1,31,6,"2015-01-31","US",20355,1747,"CLT","NC",1959,2002,3,3,0,0,"1900-1959",17,2019,2120,5,2118,2125,7,0,0,"2100-2159",0,"",0,79,83,61,366,2,0,0
"168",1,1,31,6,"2015-01-31","US",20355,1794,"PHL","PA",1835,1829,-6,0,0,-1,"1800-1859",24,1853,1941,4,2002,1945,0,0,-2,"2000-2059",0,"",0,87,76,48,268,2,0,0
"169",1,1,31,6,"2015-01-31","US",20355,1838,"PHL","PA",2030,2027,-3,0,0,-1,"2000-2059",9,2036,2126,5,2143,2131,0,0,-1,"2100-2159",0,"",0,73,64,50,268,2,0,0
"170",1,1,31,6,"2015-01-31","US",20355,1840,"CLT","NC",1805,1810,5,5,0,0,"1800-1859",17,1827,1927,5,1926,1932,6,0,0,"1900-1959",0,"",0,81,82,60,366,2,0,0
"176",1,1,13,2,"2015-01-13","US",20355,2030,"PHL","PA",1345,1338,-7,0,0,-1,"1300-1359",11,1349,1437,5,1500,1442,0,0,-2,"1500-1559",0,"",0,75,64,48,268,2,0,0
"179",1,1,14,3,"2015-01-14","US",20355,489,"PHX","AZ",959,954,-5,0,0,-1,"0900-0959",45,1039,1611,8,1559,1619,20,1,1,"1500-1559",0,"",0,240,265,212,1814,8,1,0
"182",1,1,1,4,"2015-01-01","WN",19393,387,"ATL","GA",1855,1844,-11,0,0,-1,"1800-1859",11,1855,2007,6,2035,2013,0,0,-2,"2000-2059",0,"",0,100,89,72,526,3,0,0
"183",1,1,1,4,"2015-01-01","WN",19393,4966,"ATL","GA",1300,1258,-2,0,0,-1,"1300-1359",10,1308,1419,6,1440,1425,0,0,-1,"1400-1459",0,"",0,100,87,71,526,3,0,0
"184",1,1,1,4,"2015-01-01","WN",19393,1080,"BNA","TN",2050,2050,0,0,0,0,"2000-2059",11,2101,2259,5,2310,2304,0,0,-1,"2300-2359",0,"",0,80,74,58,462,2,0,0
"185",1,1,1,4,"2015-01-01","WN",19393,152,"BWI","MD",1620,1617,-3,0,0,-1,"1600-1659",9,1626,1706,5,1720,1711,0,0,-1,"1700-1759",0,"",0,60,54,40,210,1,0,0
"186",1,1,1,4,"2015-01-01","WN",19393,323,"BWI","MD",1010,1007,-3,0,0,-1,"1000-1059",12,1019,1057,6,1110,1103,0,0,-1,"1100-1159",0,"",0,60,56,38,210,1,1,1
"187",1,1,1,4,"2015-01-01","WN",19393,2432,"DEN","CO",1745,1818,33,33,1,2,"1700-1759",45,1903,2323,7,2235,2330,55,1,3,"2200-2259",0,"",0,170,192,140,1290,6,0,0
"188",1,1,1,4,"2015-01-01","WN",19393,4376,"FLL","FL",1645,1642,-3,0,0,-1,"1600-1659",12,1654,1913,6,1930,1919,0,0,-1,"1900-1959",0,"",0,165,157,139,994,4,0,0
"189",1,1,1,4,"2015-01-01","WN",19393,2158,"LAS","NV",935,1001,26,26,1,1,"0900-0959",9,1010,1645,5,1640,1650,10,0,0,"1600-1659",0,"",0,245,229,215,1910,8,1,0
"190",1,1,1,4,"2015-01-01","WN",19393,257,"MCO","FL",1625,1628,3,3,0,0,"1600-1659",14,1642,1837,7,1835,1844,9,0,0,"1800-1859",0,"",0,130,136,115,834,4,0,0
"191",1,1,1,4,"2015-01-01","WN",19393,859,"MCO","FL",2055,2117,22,22,1,1,"2000-2059",11,2128,2321,5,2310,2326,16,1,1,"2300-2359",0,"",0,135,129,113,834,4,0,0
"192",1,1,1,4,"2015-01-01","WN",19393,988,"MCO","FL",1430,1448,18,18,1,1,"1400-1459",10,1458,1651,5,1645,1656,11,0,0,"1600-1659",0,"",0,135,128,113,834,4,0,0
"193",1,1,1,4,"2015-01-01","WN",19393,4382,"MCO","FL",1010,1010,0,0,0,0,"1000-1059",14,1024,1217,5,1225,1222,0,0,-1,"1200-1259",0,"",0,135,132,113,834,4,1,0
"194",1,1,1,4,"2015-01-01","WN",19393,1201,"MDW","IL",1955,2046,51,51,1,3,"1900-1959",8,2054,2246,6,2215,2252,37,1,2,"2200-2259",0,"",0,80,66,52,402,2,0,0
"195",1,1,1,4,"2015-01-01","WN",19393,1344,"MDW","IL",1320,1332,12,12,0,0,"1300-1359",10,1342,1532,3,1540,1535,0,0,-1,"1500-1559",0,"",0,80,63,50,402,2,0,0
"196",1,1,1,4,"2015-01-01","WN",19393,1448,"MDW","IL",1535,1532,-3,0,0,-1,"1500-1559",7,1539,1734,7,1750,1741,0,0,-1,"1700-1759",0,"",0,75,69,55,402,2,0,0
"197",1,1,1,4,"2015-01-01","WN",19393,3450,"MDW","IL",2115,2200,45,45,1,3,"2100-2159",13,2213,4,4,2330,8,38,1,2,"2300-2359",0,"",0,75,68,51,402,2,0,0
"198",1,1,1,4,"2015-01-01","WN",19393,741,"PHX","AZ",1525,1531,6,6,0,0,"1500-1559",11,1542,2044,5,2120,2049,0,0,-2,"2100-2159",0,"",0,235,198,182,1814,8,0,0
"218",1,1,1,4,"2015-01-01","WN",19393,4560,"RSW","FL",1815,1819,4,4,0,0,"1800-1859",8,1827,2036,4,2045,2040,0,0,-1,"2000-2059",0,"",0,150,141,129,966,4,0,0
"219",1,1,1,4,"2015-01-01","WN",19393,507,"TPA","FL",1225,1225,0,0,0,0,"1200-1259",11,1236,1432,5,1440,1437,0,0,-1,"1400-1459",0,"",0,135,132,116,873,4,0,0
"220",1,1,1,4,"2015-01-01","WN",19393,1264,"TPA","FL",1845,1844,-1,0,0,-1,"1800-1859",11,1855,2051,5,2100,2056,0,0,-1,"2100-2159",0,"",0,135,132,116,873,4,0,0
"221",1,1,2,5,"2015-01-02","WN",19393,387,"ATL","GA",1855,1920,25,25,1,1,"1800-1859",18,1938,2048,6,2035,2054,19,1,1,"2000-2059",0,"",0,100,94,70,526,3,0,0
"222",1,1,2,5,"2015-01-02","WN",19393,4991,"ATL","GA",1300,1307,7,7,0,0,"1300-1359",12,1319,1428,7,1440,1435,0,0,-1,"1400-1459",0,"",0,100,88,69,526,3,0,0
"223",1,1,2,5,"2015-01-02","WN",19393,4015,"PHX","AZ",1410,1500,50,50,1,3,"1400-1459",7,1507,2033,6,2005,2039,34,1,2,"2000-2059",0,"",0,235,219,206,1814,8,0,0
"224",1,1,1,4,"2015-01-01","WN",19393,2230,"HOU","TX",1010,1020,10,10,0,0,"1000-1059",11,1031,1338,6,1345,1344,0,0,-1,"1300-1359",0,"",0,155,144,127,1131,5,1,0
"225",1,1,2,5,"2015-01-02","WN",19393,1080,"BNA","TN",2050,2117,27,27,1,1,"2000-2059",8,2125,2326,5,2310,2331,21,1,1,"2300-2359",0,"",0,80,74,61,462,2,0,0
"226",1,1,2,5,"2015-01-02","WN",19393,1262,"BWI","MD",1010,1005,-5,0,0,-1,"1000-1059",8,1013,1056,4,1110,1100,0,0,-1,"1100-1159",0,"",0,60,55,43,210,1,1,1
"227",1,1,2,5,"2015-01-02","WN",19393,1745,"BWI","MD",2205,2224,19,19,1,1,"2200-2259",11,2235,2314,8,2305,2322,17,1,1,"2300-2359",0,"",0,60,58,39,210,1,0,0
"228",1,1,2,5,"2015-01-02","WN",19393,1752,"BWI","MD",1620,1653,33,33,1,2,"1600-1659",9,1702,1743,6,1720,1749,29,1,1,"1700-1759",0,"",0,60,56,41,210,1,0,0
"229",1,1,2,5,"2015-01-02","WN",19393,2432,"DEN","CO",1745,1800,15,15,1,1,"1700-1759",11,1811,2229,5,2235,2234,0,0,-1,"2200-2259",0,"",0,170,154,138,1290,6,0,0
"230",1,1,2,5,"2015-01-02","WN",19393,4376,"FLL","FL",1645,1654,9,9,0,0,"1600-1659",12,1706,1915,7,1930,1922,0,0,-1,"1900-1959",0,"",0,165,148,129,994,4,0,0
"231",1,1,2,5,"2015-01-02","WN",19393,507,"TPA","FL",1225,1223,-2,0,0,-1,"1200-1259",9,1232,1427,6,1440,1433,0,0,-1,"1400-1459",0,"",0,135,130,115,873,4,0,0
"232",1,1,2,5,"2015-01-02","WN",19393,1264,"TPA","FL",1845,1854,9,9,0,0,"1800-1859",9,1903,2054,8,2100,2102,2,0,0,"2100-2159",0,"",0,135,128,111,873,4,0,0
"233",1,1,3,6,"2015-01-03","WN",19393,387,"ATL","GA",1855,118,383,383,1,12,"1800-1859",14,132,238,5,2035,243,368,1,12,"2000-2059",0,"",0,100,85,66,526,3,0,0
"234",1,1,3,6,"2015-01-03","WN",19393,4991,"ATL","GA",1300,1304,4,4,0,0,"1300-1359",8,1312,1428,5,1440,1433,0,0,-1,"1400-1459",0,"",0,100,89,76,526,3,0,0
"235",1,1,3,6,"2015-01-03","WN",19393,1080,"BNA","TN",2050,2104,14,14,0,0,"2000-2059",9,2113,2312,6,2310,2318,8,0,0,"2300-2359",0,"",0,80,74,59,462,2,0,0
"236",1,1,2,5,"2015-01-02","WN",19393,2230,"HOU","TX",1010,1040,30,30,1,2,"1000-1059",11,1051,1357,6,1345,1403,18,1,1,"1300-1359",0,"",0,155,143,126,1131,5,1,0
"237",1,1,2,5,"2015-01-02","WN",19393,1147,"LAS","NV",1740,1734,-6,0,0,-1,"1700-1759",11,1745,15,6,40,21,0,0,-2,"0001-0559",0,"",0,240,227,210,1910,8,0,1
"238",1,1,2,5,"2015-01-02","WN",19393,1228,"LAS","NV",945,939,-6,0,0,-1,"0900-0959",12,951,1626,4,1650,1630,0,0,-2,"1600-1659",0,"",0,245,231,215,1910,8,1,0
"239",1,1,2,5,"2015-01-02","WN",19393,257,"MCO","FL",1625,1637,12,12,0,0,"1600-1659",7,1644,1837,8,1835,1845,10,0,0,"1800-1859",0,"",0,130,128,113,834,4,0,0
"240",1,1,2,5,"2015-01-02","WN",19393,1088,"MCO","FL",715,712,-3,0,0,-1,"0700-0759",16,728,918,5,930,923,0,0,-1,"0900-0959",0,"",0,135,131,110,834,4,1,1
