"","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","FL_NUM","DEST","DEST_STATE_ABR","CRS_DEP_TIME","CRS_ARR_TIME","CRS_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","DEP_AM_PM","ARR_AM_PM"
"18",1,1,7,4,"2016-01-07","OO",20304,5542,"IAH","TX",1441,1700,199,1117,5,0,0
"19",1,1,8,5,"2016-01-08","WN",19393,369,"MDW","IL",1440,1515,95,402,2,0,0
"20",1,1,8,5,"2016-01-08","OO",20304,5542,"IAH","TX",1441,1700,199,1117,5,0,0
"21",1,1,9,6,"2016-01-09","WN",19393,2710,"RSW","FL",1340,1625,165,966,4,0,0
"22",1,1,9,6,"2016-01-09","B6",20409,1686,"BOS","MA",1745,1924,99,496,2,0,0
"23",1,1,10,7,"2016-01-10","WN",19393,1581,"DAL","TX",1505,1720,195,1060,5,0,0
"24",1,1,10,7,"2016-01-10","AA",19805,1426,"DFW","TX",1518,1737,199,1067,5,0,0
"25",1,1,10,7,"2016-01-10","DL",19790,2580,"ATL","GA",1525,1723,118,526,3,0,0
"26",1,1,11,1,"2016-01-11","AA",19805,654,"CLT","NC",1200,1335,95,366,2,0,0
"27",1,1,11,1,"2016-01-11","WN",19393,1452,"BWI","MD",1250,1355,65,210,1,0,0
"28",1,1,12,2,"2016-01-12","WN",19393,498,"BNA","TN",615,710,115,462,2,1,1
"29",1,1,12,2,"2016-01-12","EV",20366,4212,"EWR","NJ",907,1034,87,319,2,1,1
"30",1,1,13,3,"2016-01-13","AA",19805,2113,"PHX","AZ",700,1011,311,1814,8,1,1
"31",1,1,13,3,"2016-01-13","WN",19393,1866,"LAS","NV",715,925,310,1910,8,1,1
"32",1,1,14,4,"2016-01-14","AA",19805,1802,"CLT","NC",1359,1532,93,366,2,0,0
"33",1,1,14,4,"2016-01-14","WN",19393,369,"MDW","IL",1440,1515,95,402,2,0,0
"34",1,1,14,4,"2016-01-14","DL",19790,2580,"ATL","GA",1502,1700,118,526,3,0,0
"35",1,1,14,4,"2016-01-14","UA",19977,709,"DEN","CO",1620,1758,218,1290,6,0,0
"36",1,1,15,5,"2016-01-15","WN",19393,2171,"MCO","FL",1935,2200,145,834,4,0,0
"37",1,1,16,6,"2016-01-16","EV",20366,4905,"MSP","MN",1255,1418,143,726,3,0,0
"38",1,1,16,6,"2016-01-16","WN",19393,3791,"MDW","IL",1300,1335,95,402,2,0,0
"39",1,1,16,6,"2016-01-16","B6",20409,1686,"BOS","MA",1745,1924,99,496,2,0,0
"40",1,1,17,7,"2016-01-17","WN",19393,2873,"FLL","FL",640,940,180,994,4,1,1
"41",1,1,17,7,"2016-01-17","AA",19805,1853,"CLT","NC",655,842,107,366,2,1,1
"42",1,1,18,1,"2016-01-18","AA",19805,1347,"DFW","TX",806,1030,204,1067,5,1,1
"43",1,1,18,1,"2016-01-18","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
"44",1,1,19,2,"2016-01-19","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
"45",1,1,19,2,"2016-01-19","DL",19790,1677,"ATL","GA",945,1140,115,526,3,1,1
"46",1,1,20,3,"2016-01-20","WN",19393,923,"TPA","FL",1030,1305,155,873,4,1,0
"47",1,1,20,3,"2016-01-20","B6",20409,1486,"BOS","MA",1100,1232,92,496,2,1,0
"48",1,1,20,3,"2016-01-20","AA",19805,2045,"CLT","NC",1200,1335,95,366,2,0,0
"49",1,1,21,4,"2016-01-21","AA",19805,2113,"PHX","AZ",700,1011,311,1814,8,1,1
"50",1,1,21,4,"2016-01-21","WN",19393,1866,"LAS","NV",715,925,310,1910,8,1,1
"51",1,1,21,4,"2016-01-21","UA",19977,1450,"IAH","TX",753,1030,217,1117,5,1,1
"52",1,1,21,4,"2016-01-21","EV",20366,4212,"EWR","NJ",907,1034,87,319,2,1,1
"53",1,1,22,5,"2016-01-22","AA",19805,586,"PHX","AZ",1720,2006,286,1814,8,0,0
"54",1,1,22,5,"2016-01-22","UA",19977,220,"ORD","IL",1720,1807,107,413,2,0,0
"55",1,1,22,5,"2016-01-22","WN",19393,2690,"MDW","IL",1745,1825,100,402,2,0,0
"56",1,1,22,5,"2016-01-22","EV",20366,4989,"MSP","MN",1915,2043,148,726,3,0,0
"57",1,1,23,6,"2016-01-23","WN",19393,3026,"DAL","TX",1400,1620,200,1060,5,0,0
"58",1,1,23,6,"2016-01-23","DL",19790,2789,"ATL","GA",1435,1631,116,526,3,0,0
"59",1,1,24,7,"2016-01-24","WN",19393,1581,"DAL","TX",1505,1720,195,1060,5,0,0
"60",1,1,24,7,"2016-01-24","AA",19805,1426,"DFW","TX",1518,1737,199,1067,5,0,0
"61",1,1,24,7,"2016-01-24","UA",19977,709,"DEN","CO",1614,1756,222,1290,6,0,0
"62",1,1,25,1,"2016-01-25","WN",19393,2077,"PHX","AZ",1330,1620,290,1814,8,0,0
"63",1,1,25,1,"2016-01-25","DL",19790,2580,"ATL","GA",1502,1700,118,526,3,0,0
"64",1,1,26,2,"2016-01-26","WN",19393,1165,"MCO","FL",1130,1350,140,834,4,1,0
"65",1,1,26,2,"2016-01-26","AA",19805,2045,"CLT","NC",1200,1335,95,366,2,0,0
"66",1,1,26,2,"2016-01-26","UA",19977,338,"IAH","TX",1427,1650,203,1117,5,0,0
"67",1,1,27,3,"2016-01-27","WN",19393,453,"MDW","IL",1040,1115,95,402,2,1,1
"68",1,1,27,3,"2016-01-27","AA",19805,2045,"CLT","NC",1200,1335,95,366,2,0,0
"69",1,1,27,3,"2016-01-27","UA",19977,338,"IAH","TX",1427,1646,199,1117,5,0,0
"70",1,1,28,4,"2016-01-28","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
"71",1,1,29,5,"2016-01-29","WN",19393,901,"HOU","TX",1835,2100,205,1131,5,0,0
"72",1,1,29,5,"2016-01-29","AA",19805,817,"CLT","NC",1900,2035,95,366,2,0,0
"73",1,1,30,6,"2016-01-30","AA",19805,1989,"CLT","NC",515,649,94,366,2,1,1
"74",1,1,30,6,"2016-01-30","WN",19393,3255,"BWI","MD",545,700,75,210,1,1,1
"75",1,1,30,6,"2016-01-30","DL",19790,1450,"ATL","GA",600,802,122,526,3,1,1
"76",1,1,31,7,"2016-01-31","WN",19393,3184,"MCO","FL",1200,1425,145,834,4,0,0
"77",1,1,31,7,"2016-01-31","UA",19977,1151,"ORD","IL",1344,1428,104,413,2,0,0
"78",1,1,31,7,"2016-01-31","B6",20409,1786,"BOS","MA",1959,2131,92,496,2,0,0
"79",1,2,1,1,"2016-02-01","WN",19393,696,"TPA","FL",1635,1905,150,873,4,0,0
"80",1,2,1,1,"2016-02-01","AA",19805,586,"PHX","AZ",1720,2006,286,1814,8,0,0
"81",1,2,1,1,"2016-02-01","B6",20409,1686,"BOS","MA",1745,1924,99,496,2,0,0
"82",1,2,2,2,"2016-02-02","WN",19393,1165,"MCO","FL",1130,1350,140,834,4,1,0
"83",1,2,3,3,"2016-02-03","AA",19805,2113,"PHX","AZ",700,1011,311,1814,8,1,1
"84",1,2,3,3,"2016-02-03","WN",19393,1866,"LAS","NV",715,925,310,1910,8,1,1
"85",1,2,4,4,"2016-02-04","WN",19393,1493,"RSW","FL",1520,1805,165,966,4,0,0
"86",1,2,4,4,"2016-02-04","AA",19805,1825,"PHL","PA",1530,1702,92,268,2,0,0
"87",1,2,4,4,"2016-02-04","DL",19790,1462,"ATL","GA",1759,1958,119,526,3,0,0
"88",1,2,5,5,"2016-02-05","WN",19393,2622,"ATL","GA",1640,1830,110,526,3,0,0
"89",1,2,5,5,"2016-02-05","AA",19805,586,"PHX","AZ",1720,2006,286,1814,8,0,0
"90",1,2,5,5,"2016-02-05","B6",20409,1686,"BOS","MA",1745,1924,99,496,2,0,0
"91",1,2,6,6,"2016-02-06","WN",19393,3063,"FLL","FL",625,925,180,994,4,1,1
"92",1,2,6,6,"2016-02-06","DL",19790,2126,"ATL","GA",800,1003,123,526,3,1,1
"93",1,2,7,7,"2016-02-07","AA",19805,1426,"DFW","TX",1518,1737,199,1067,5,0,0
"94",1,2,7,7,"2016-02-07","WN",19393,1493,"RSW","FL",1520,1805,165,966,4,0,0
"95",1,2,8,1,"2016-02-08","WN",19393,2235,"MCO","FL",1715,1940,145,834,4,0,0
"96",1,2,8,1,"2016-02-08","DL",19790,1462,"ATL","GA",1759,1958,119,526,3,0,0
"97",1,2,9,2,"2016-02-09","WN",19393,1165,"MCO","FL",1130,1350,140,834,4,1,0
"98",1,2,10,3,"2016-02-10","DL",19790,1295,"ATL","GA",1125,1318,113,526,3,1,0
"99",1,2,10,3,"2016-02-10","WN",19393,1165,"MCO","FL",1130,1350,140,834,4,1,0
"100",1,2,10,3,"2016-02-10","AA",19805,2045,"CLT","NC",1205,1340,95,366,2,0,0
"101",1,2,11,4,"2016-02-11","WN",19393,1296,"MDW","IL",600,650,110,402,2,1,1
"102",1,2,11,4,"2016-02-11","AA",19805,727,"LAX","CA",600,836,336,2136,9,1,1
"103",1,2,11,4,"2016-02-11","B6",20409,2007,"FLL","FL",700,957,177,994,4,1,1
"104",1,2,12,5,"2016-02-12","WN",19393,2087,"MCO","FL",635,920,165,834,4,1,1
"105",1,2,12,5,"2016-02-12","AA",19805,806,"CLT","NC",655,842,107,366,2,1,1
"106",1,2,12,5,"2016-02-12","B6",20409,2007,"FLL","FL",700,957,177,994,4,1,1
"107",1,2,13,6,"2016-02-13","WN",19393,3026,"DAL","TX",1400,1620,200,1060,5,0,0
"108",1,2,14,7,"2016-02-14","DL",19790,1639,"DTW","MI",615,739,84,201,1,1,1
"109",1,2,14,7,"2016-02-14","WN",19393,2873,"FLL","FL",640,940,180,994,4,1,1
"110",1,2,14,7,"2016-02-14","UA",19977,643,"ORD","IL",750,841,111,413,2,1,1
"111",1,2,14,7,"2016-02-14","EV",20366,3939,"ORD","IL",1205,1251,106,413,2,0,0
"112",1,2,15,1,"2016-02-15","WN",19393,369,"MDW","IL",1440,1515,95,402,2,0,0
"113",1,2,15,1,"2016-02-15","UA",19977,709,"DEN","CO",1612,1750,218,1290,6,0,0
"114",1,2,16,2,"2016-02-16","WN",19393,1493,"RSW","FL",1520,1805,165,966,4,0,0
"115",1,2,16,2,"2016-02-16","EV",20366,5502,"LGA","NY",1714,1844,90,335,2,0,0
"116",1,2,17,3,"2016-02-17","WN",19393,2690,"MDW","IL",1745,1825,100,402,2,0,0
"117",1,2,18,4,"2016-02-18","WN",19393,901,"HOU","TX",1835,2100,205,1131,5,0,0
"118",1,2,18,4,"2016-02-18","DL",19790,707,"DTW","MI",1920,2030,70,201,1,0,0
"119",1,2,19,5,"2016-02-19","WN",19393,696,"TPA","FL",1635,1905,150,873,4,0,0
"120",1,2,19,5,"2016-02-19","UA",19977,220,"ORD","IL",1737,1825,108,413,2,0,0
"121",1,2,19,5,"2016-02-19","EV",20366,4172,"EWR","NJ",1831,2000,89,319,2,0,0
"122",1,2,20,6,"2016-02-20","WN",19393,2952,"RSW","FL",550,845,175,966,4,1,1
"123",1,2,20,6,"2016-02-20","AA",19805,647,"PHX","AZ",700,1011,311,1814,8,1,1
"124",1,2,21,7,"2016-02-21","WN",19393,3184,"MCO","FL",1200,1425,145,834,4,0,0
"125",1,2,21,7,"2016-02-21","AA",19805,1252,"DFW","TX",1240,1504,204,1067,5,0,0
"126",1,2,22,1,"2016-02-22","WN",19393,656,"BWI","MD",540,655,75,210,1,1,1
"127",1,2,22,1,"2016-02-22","DL",19790,1639,"DTW","MI",542,709,87,201,1,1,1
"128",1,2,22,1,"2016-02-22","AA",19805,727,"LAX","CA",600,836,336,2136,9,1,1
"129",1,2,23,2,"2016-02-23","WN",19393,2171,"MCO","FL",1935,2200,145,834,4,0,0
"130",1,2,24,3,"2016-02-24","WN",19393,2077,"PHX","AZ",1330,1620,290,1814,8,0,0
"131",1,2,24,3,"2016-02-24","AA",19805,1745,"CLT","NC",1357,1530,93,366,2,0,0
"132",1,2,24,3,"2016-02-24","DL",19790,2580,"ATL","GA",1515,1713,118,526,3,0,0
"133",1,2,25,4,"2016-02-25","WN",19393,1493,"RSW","FL",1520,1805,165,966,4,0,0
"134",1,2,26,5,"2016-02-26","WN",19393,1866,"LAS","NV",715,925,310,1910,8,1,1
"135",1,2,26,5,"2016-02-26","B6",20409,1286,"BOS","MA",905,1037,92,496,2,1,1
"136",1,2,27,6,"2016-02-27","WN",19393,1917,"FLL","FL",1310,1550,160,994,4,0,0
"137",1,2,27,6,"2016-02-27","B6",20409,1686,"BOS","MA",1740,1919,99,496,2,0,0
"138",1,2,28,7,"2016-02-28","WN",19393,2873,"FLL","FL",640,940,180,994,4,1,1
"139",1,2,29,1,"2016-02-29","WN",19393,2087,"MCO","FL",635,920,165,834,4,1,1
"140",1,2,29,1,"2016-02-29","AA",19805,806,"CLT","NC",655,842,107,366,2,1,1
"141",1,2,29,1,"2016-02-29","DL",19790,2126,"ATL","GA",800,1006,126,526,3,1,1
"142",1,3,1,2,"2016-03-01","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
"143",1,3,1,2,"2016-03-01","DL",19790,1677,"ATL","GA",946,1141,115,526,3,1,1
"144",1,3,1,2,"2016-03-01","AA",19805,857,"CLT","NC",1025,1203,98,366,2,1,0
"145",1,3,1,2,"2016-03-01","OO",20304,5351,"IAH","TX",1425,1646,201,1117,5,0,0
"146",1,3,2,3,"2016-03-02","WN",19393,1493,"RSW","FL",1520,1805,165,966,4,0,0
"147",1,3,3,4,"2016-03-03","AA",19805,1347,"DFW","TX",806,1030,204,1067,5,1,1
"148",1,3,3,4,"2016-03-03","WN",19393,758,"DEN","CO",930,1115,225,1290,6,1,1
"149",1,3,4,5,"2016-03-04","WN",19393,901,"HOU","TX",1835,2100,205,1131,5,0,0
"150",1,3,4,5,"2016-03-04","EV",20366,5559,"DTW","MI",1913,2019,66,201,1,0,0
"151",1,3,4,5,"2016-03-04","DL",19790,728,"ATL","GA",1954,2145,111,526,3,0,0
"152",1,3,4,5,"2016-03-04","B6",20409,1786,"BOS","MA",1955,2127,92,496,2,0,0
"153",1,3,5,6,"2016-03-05","AA",19805,2017,"CLT","NC",1200,1335,95,366,2,0,0
"154",1,3,5,6,"2016-03-05","WN",19393,608,"MCO","FL",1205,1430,145,834,4,0,0
"155",1,3,6,7,"2016-03-06","DL",19790,861,"DTW","MI",600,712,72,201,1,1,1
"156",1,3,6,7,"2016-03-06","WN",19393,2873,"FLL","FL",640,940,180,994,4,1,1
"157",1,3,6,7,"2016-03-06","UA",19977,606,"SFO","CA",720,1000,340,2254,10,1,1
"158",1,3,7,1,"2016-03-07","AA",19805,1252,"DFW","TX",1240,1504,204,1067,5,0,0
"159",1,3,7,1,"2016-03-07","WN",19393,1452,"BWI","MD",1250,1355,65,210,1,0,0
"160",1,3,8,2,"2016-03-08","WN",19393,923,"TPA","FL",1030,1305,155,873,4,1,0
"161",1,3,9,3,"2016-03-09","AA",19805,1711,"CLT","NC",1530,1703,93,366,2,0,0
"162",1,3,9,3,"2016-03-09","UA",19977,709,"DEN","CO",1612,1753,221,1290,6,0,0
"163",1,3,9,3,"2016-03-09","WN",19393,2477,"TPA","FL",1635,1905,150,873,4,0,0
"164",1,3,10,4,"2016-03-10","AA",19805,586,"PHX","AZ",1720,2006,286,1814,8,0,0
"165",1,3,10,4,"2016-03-10","WN",19393,4567,"LAS","NV",1730,1925,295,1910,8,0,0
"166",1,3,11,5,"2016-03-11","WN",19393,1582,"FLL","FL",1405,1640,155,994,4,0,0
"167",1,3,11,5,"2016-03-11","AA",19805,1426,"DFW","TX",1516,1735,199,1067,5,0,0
"168",1,3,11,5,"2016-03-11","DL",19790,2804,"ATL","GA",1620,1808,108,526,3,0,0
"169",1,3,11,5,"2016-03-11","B6",20409,1686,"BOS","MA",1740,1913,93,496,2,0,0
"170",1,3,11,5,"2016-03-11","EV",20366,5559,"DTW","MI",1913,2019,66,201,1,0,0
"171",1,3,12,6,"2016-03-12","WN",19393,196,"BNA","TN",735,820,105,462,2,1,1
"172",1,3,14,1,"2016-03-14","WN",19393,2658,"RSW","FL",540,815,155,966,4,1,1
"173",1,3,14,1,"2016-03-14","AA",19805,727,"LAX","CA",600,836,336,2136,9,1,1
"174",1,3,15,2,"2016-03-15","AA",19805,2011,"CLT","NC",520,654,94,366,2,1,1
"175",1,3,15,2,"2016-03-15","WN",19393,2658,"RSW","FL",540,815,155,966,4,1,1
"176",1,3,16,3,"2016-03-16","WN",19393,4567,"LAS","NV",1730,1925,295,1910,8,0,0
"177",1,3,16,3,"2016-03-16","AA",19805,1705,"PHL","PA",1805,1939,94,268,2,0,0
"178",1,3,17,4,"2016-03-17","WN",19393,4064,"STL","MO",825,920,115,554,3,1,1
"179",1,3,17,4,"2016-03-17","DL",19790,975,"ATL","GA",940,1123,103,526,3,1,1
"180",1,3,18,5,"2016-03-18","B6",20409,1286,"BOS","MA",902,1033,91,496,2,1,1
"181",1,3,18,5,"2016-03-18","WN",19393,3006,"DEN","CO",940,1120,220,1290,6,1,1
"182",1,3,18,5,"2016-03-18","DL",19790,975,"ATL","GA",940,1123,103,526,3,1,1
"183",1,3,18,5,"2016-03-18","AA",19805,2078,"CLT","NC",1025,1203,98,366,2,1,0
"184",1,3,19,6,"2016-03-19","AA",19805,647,"PHX","AZ",700,911,311,1814,8,1,1
"185",1,3,19,6,"2016-03-19","B6",20409,2007,"FLL","FL",700,953,173,994,4,1,1
"186",1,3,19,6,"2016-03-19","WN",19393,2387,"MDW","IL",700,735,95,402,2,1,1
"187",1,3,19,6,"2016-03-19","UA",19977,606,"SFO","CA",715,955,340,2254,10,1,1
"188",1,3,20,7,"2016-03-20","WN",19393,3701,"ATL","GA",730,925,115,526,3,1,1
"189",1,3,20,7,"2016-03-20","DL",19790,2126,"ATL","GA",800,950,110,526,3,1,1
"190",1,3,21,1,"2016-03-21","WN",19393,4419,"MDW","IL",1225,1250,85,402,2,0,0
"191",1,3,21,1,"2016-03-21","DL",19790,1599,"ATL","GA",1317,1508,111,526,3,0,0
"192",1,3,22,2,"2016-03-22","WN",19393,4177,"MDW","IL",1755,1825,90,402,2,0,0
"193",1,3,22,2,"2016-03-22","AA",19805,1705,"PHL","PA",1805,1940,95,268,2,0,0
"194",1,3,23,3,"2016-03-23","B6",20409,1786,"BOS","MA",1955,2127,92,496,2,0,0
"195",1,3,24,4,"2016-03-24","WN",19393,2360,"MDW","IL",635,705,90,402,2,1,1
"196",1,3,24,4,"2016-03-24","B6",20409,2007,"FLL","FL",700,953,173,994,4,1,1
"197",1,3,25,5,"2016-03-25","WN",19393,899,"HOU","TX",1535,1750,195,1131,5,0,0
"198",1,3,25,5,"2016-03-25","B6",20409,1686,"BOS","MA",1740,1913,93,496,2,0,0
"199",1,3,26,6,"2016-03-26","WN",19393,4196,"MCO","FL",1130,1345,135,834,4,1,0
"200",1,3,26,6,"2016-03-26","DL",19790,1295,"ATL","GA",1130,1316,106,526,3,1,0
"201",1,3,26,6,"2016-03-26","AA",19805,2017,"CLT","NC",1200,1335,95,366,2,0,0
"202",1,3,27,7,"2016-03-27","WN",19393,3701,"ATL","GA",730,925,115,526,3,1,1
"203",1,3,27,7,"2016-03-27","AA",19805,821,"CLT","NC",835,1022,107,366,2,1,1
"204",1,3,27,7,"2016-03-27","OO",20304,5943,"IAH","TX",1723,1932,189,1117,5,0,0
"205",1,3,28,1,"2016-03-28","WN",19393,4064,"STL","MO",825,920,115,554,3,1,1
"206",1,3,28,1,"2016-03-28","AA",19805,1814,"CLT","NC",845,1032,107,366,2,1,1
"207",1,3,28,1,"2016-03-28","UA",19977,709,"DEN","CO",1612,1753,221,1290,6,0,0
"208",1,3,29,2,"2016-03-29","WN",19393,1582,"FLL","FL",1405,1640,155,994,4,0,0
"209",1,3,29,2,"2016-03-29","AA",19805,1426,"DFW","TX",1516,1735,199,1067,5,0,0
"210",1,3,29,2,"2016-03-29","DL",19790,2804,"ATL","GA",1620,1808,108,526,3,0,0
"211",1,3,29,2,"2016-03-29","UA",19977,1234,"IAH","TX",1738,1951,193,1117,5,0,0
"212",1,3,30,3,"2016-03-30","EV",20366,5559,"DTW","MI",1913,2019,66,201,1,0,0
"213",1,3,30,3,"2016-03-30","DL",19790,728,"ATL","GA",1954,2145,111,526,3,0,0
"214",1,3,31,4,"2016-03-31","WN",19393,1243,"TPA","FL",1900,2120,140,873,4,0,0
"215",2,4,1,5,"2016-04-01","DL",19790,1462,"ATL","GA",1755,1947,112,526,3,0,0
"216",2,4,1,5,"2016-04-01","WN",19393,4177,"MDW","IL",1755,1825,90,402,2,0,0
"217",2,4,2,6,"2016-04-02","WN",19393,471,"MCO","FL",1740,1955,135,834,4,0,0
"218",2,4,3,7,"2016-04-03","WN",19393,4526,"TPA","FL",1245,1505,140,873,4,0,0
"219",2,4,3,7,"2016-04-03","AA",19805,2056,"CLT","NC",1357,1530,93,366,2,0,0
"220",2,4,3,7,"2016-04-03","OO",20304,5943,"IAH","TX",1723,1932,189,1117,5,0,0
"221",2,4,4,1,"2016-04-04","WN",19393,4419,"MDW","IL",1225,1250,85,402,2,0,0
"222",2,4,4,1,"2016-04-04","AA",19805,1252,"DFW","TX",1240,1504,204,1067,5,0,0
"223",2,4,4,1,"2016-04-04","UA",19977,709,"DEN","CO",1612,1753,221,1290,6,0,0
"224",2,4,5,2,"2016-04-05","WN",19393,4154,"DAL","TX",1700,1905,185,1060,5,0,0
"225",2,4,5,2,"2016-04-05","UA",19977,220,"ORD","IL",1735,1815,100,413,2,0,0
"226",2,4,5,2,"2016-04-05","B6",20409,1686,"BOS","MA",1740,1913,93,496,2,0,0
"227",2,4,6,3,"2016-04-06","DL",19790,1903,"ATL","GA",605,800,115,526,3,1,1
"228",2,4,6,3,"2016-04-06","WN",19393,1585,"FLL","FL",615,855,160,994,4,1,1
"229",2,4,6,3,"2016-04-06","B6",20409,2007,"FLL","FL",700,953,173,994,4,1,1
"230",2,4,7,4,"2016-04-07","DL",19790,1383,"ATL","GA",940,1123,103,526,3,1,1
"231",2,4,7,4,"2016-04-07","WN",19393,3006,"DEN","CO",940,1120,220,1290,6,1,1
"232",2,4,7,4,"2016-04-07","AA",19805,2078,"CLT","NC",1035,1205,90,366,2,1,0
"233",2,4,8,5,"2016-04-08","WN",19393,3006,"DEN","CO",940,1120,220,1290,6,1,1
"234",2,4,9,6,"2016-04-09","DL",19790,1599,"ATL","GA",1327,1515,108,526,3,0,0
"235",2,4,9,6,"2016-04-09","WN",19393,1973,"TPA","FL",1425,1645,140,873,4,0,0
"236",2,4,10,7,"2016-04-10","AA",19805,2458,"DFW","TX",1800,2005,185,1067,5,0,0
"237",2,4,10,7,"2016-04-10","WN",19393,599,"ATL","GA",1810,2005,115,526,3,0,0
"238",2,4,11,1,"2016-04-11","DL",19790,1383,"ATL","GA",940,1123,103,526,3,1,1
"239",2,4,11,1,"2016-04-11","WN",19393,3006,"DEN","CO",940,1120,220,1290,6,1,1
"240",2,4,13,3,"2016-04-13","WN",19393,1828,"TPA","FL",2020,2235,135,873,4,0,0
"241",2,4,13,3,"2016-04-13","AA",19805,1731,"PHL","PA",2040,2148,68,268,2,0,0
"242",2,4,14,4,"2016-04-14","WN",19393,2701,"HOU","TX",1845,2050,185,1131,5,0,0
"243",2,4,14,4,"2016-04-14","DL",19790,1142,"ATL","GA",2020,2214,114,526,3,0,0
"244",2,4,15,5,"2016-04-15","WN",19393,2241,"MCO","FL",530,740,130,834,4,1,1
"245",2,4,16,6,"2016-04-16","WN",19393,3397,"MCO","FL",805,1025,140,834,4,1,1
"246",2,4,17,7,"2016-04-17","AA",19805,1889,"CLT","NC",1350,1519,89,366,2,0,0
"247",2,4,17,7,"2016-04-17","WN",19393,419,"TPA","FL",1445,1705,140,873,4,0,0
"248",2,4,18,1,"2016-04-18","WN",19393,281,"MDW","IL",1045,1110,85,402,2,1,1
"249",2,4,18,1,"2016-04-18","UA",19977,709,"DEN","CO",1603,1744,221,1290,6,0,0
"250",2,4,19,2,"2016-04-19","WN",19393,3327,"BWI","MD",1725,1825,60,210,1,0,0
"251",2,4,19,2,"2016-04-19","DL",19790,1462,"ATL","GA",1745,1937,112,526,3,0,0
"252",2,4,19,2,"2016-04-19","OO",20304,4447,"DTW","MI",1912,2018,66,201,1,0,0
"253",2,4,20,3,"2016-04-20","WN",19393,2903,"LAS","NV",1630,1810,280,1910,8,0,0
"254",2,4,21,4,"2016-04-21","WN",19393,1828,"TPA","FL",2020,2235,135,873,4,0,0
"255",2,4,22,5,"2016-04-22","AA",19805,1992,"CLT","NC",1350,1519,89,366,2,0,0
"256",2,4,22,5,"2016-04-22","WN",19393,419,"TPA","FL",1445,1705,140,873,4,0,0
"257",2,4,22,5,"2016-04-22","B6",20409,1686,"BOS","MA",1740,1913,93,496,2,0,0
"258",2,4,23,6,"2016-04-23","WN",19393,934,"TPA","FL",1800,2020,140,873,4,0,0
"259",2,4,24,7,"2016-04-24","WN",19393,1273,"TPA","FL",2030,2245,135,873,4,0,0
"260",2,4,25,1,"2016-04-25","AA",19805,1426,"DFW","TX",1513,1720,187,1067,5,0,0
"261",2,4,25,1,"2016-04-25","WN",19393,1711,"MCO","FL",1550,1805,135,834,4,0,0
"262",2,4,25,1,"2016-04-25","B6",20409,1686,"BOS","MA",1740,1913,93,496,2,0,0
"263",2,4,26,2,"2016-04-26","AA",19805,1731,"PHL","PA",2040,2148,68,268,2,0,0
"264",2,4,27,3,"2016-04-27","AA",19805,2458,"DFW","TX",1800,2005,185,1067,5,0,0
"265",2,4,27,3,"2016-04-27","WN",19393,2153,"ATL","GA",1805,1945,100,526,3,0,0
